"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0ec75bc0-7986-46f4-9e75-53ff4b5942dc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"32a7f263-1854-4120-a3a3-98483531ef16","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Retaining Walls"
"b3608233-1653-43db-b94b-8a130c9422c7","","checklist-flat","not-started","zSYS - Building A","checklist-flat","FALSE","FALSE","Site QA","Retaining Walls","Building A"
"8a0b11b1-752f-4ff1-805b-92436f8e37d1","","checklist-flat","not-started","zSYS - Building A","checklist-flat","FALSE","FALSE","Site QA","Retaining Walls","Building B"
"b202b2ac-aa86-4061-b3b6-d02740cb19b1","","checklist-flat","not-started","zSYS - Building A","checklist-flat","FALSE","FALSE","Site QA","Retaining Walls","Building C"
"ef397e93-650a-40d2-9257-6f73d9e56f4a","","checklist-flat","not-started","zSYS - Building A","checklist-flat","FALSE","FALSE","Site QA","Retaining Walls","Building E+F+G (Northern Precinct)"
"b37e3867-d82a-4d1e-90c6-208ddb21b1cb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A"
"247248e2-b065-4dae-a149-df6ff8ab2faf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies"
"73fa986a-8f5d-4b27-a4a0-3a075b397e9f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","LWR GR Balconies"
"5970ea4a-1173-4ceb-a67a-d107b2bf55c1","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","LWR GR Balconies","APT - A-LG01 - (Enviro Primer + 700X)"
"c914fb48-ec18-40f4-af71-238000cb68b8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","GR Balconies"
"709c9a45-9d50-4337-9598-c88fcfde82ec","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G01 - (Enviro Primer + 700X)"
"e8c40790-00bb-491c-a039-04c5d4702042","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G02 - (Enviro Primer + 700X)"
"7d35d759-9827-4e25-9f62-38af7247c89f","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G03 - (Enviro Primer + 700X)"
"e05b2d13-4289-48bf-b885-2e19315253ab","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G04 - (Enviro Primer + 700X)"
"e7b6aacd-c633-4aaa-80d2-f84c81ffea74","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G05 - (Enviro Primer + 700X)"
"6dd1532d-bcf9-4b1b-a64c-8af76c7fb56f","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G06 - (Enviro Primer + 700X)"
"da1e6a47-28b1-46cb-a5f2-f1170c49c1fe","","checklist-flat","not-started","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building A","Balconies","GR Balconies","A-G07 - (Enviro Primer + 700X)"
"925bd13e-4762-43e7-b2e9-a95175597342","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building A","Balconies","GR Terrace area"
