"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d919603f-f0d1-48ba-8874-874231fce35e","","folder-normal","work-in-progress","","step","TRUE","FALSE","SAMPLES "
"4e99a0d8-bbcf-49ab-b8bf-1c8c2bd555f2","","checklist-sectioned","work-in-progress","200P Ultra V01","checklist","FALSE","FALSE","SAMPLES ","WPS-501"
"f21c35c0-7cb4-4b53-8d5d-326b7b6169bd","","checklist-sectioned","not-started","SYS - Archived checklist 1","checklist","FALSE","FALSE","SAMPLES ","WPS-504"
"ab8cff43-d251-4d75-9619-17a640a75dbd","","checklist-sectioned","work-in-progress","SYS - Archived checklist 2","checklist","FALSE","FALSE","SAMPLES ","Enviro Seal WB"
"1b569c00-0465-4d1e-b5e6-c4c88f449bd6","","folder-normal","not-started","","step","TRUE","FALSE","SAMPLES ","SAMPLES "
"8b3980db-5061-4f17-9377-d354f8a73c3c","","checklist-sectioned","not-started","200P Ultra V01","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","200P Ultra V01"
"70c30f36-4003-4a9b-92ae-ebaa350eca1f","","checklist-sectioned","not-started","SYS - Archived checklist 3","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Enviro 700X + 250NS 1.0"
"bca4c7a8-a934-4fad-b038-97c8bc118375","","checklist-sectioned","not-started","SYS - Archived checklist 4","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Enviro HP1200 V1.0"
"6ae49018-de6a-4237-a708-b47be9de9b92","","checklist-sectioned","not-started","SYS - Archived checklist 1","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Enviro HP1200+800TC V1.0"
"7927ca11-465d-43f9-aed5-b627ff55da1d","","checklist-sectioned","not-started","SYS - Archived checklist 5","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Enviro Ultra Tuff V1.0"
"7495118f-7e54-4c6a-8460-6e677232b257","","checklist-sectioned","not-started","SYS - Archived checklist 2","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Sealer V1.0"
"ef0f84da-d37d-4acd-8540-07097d64207f","","checklist-sectioned","not-started","Enviro 700X V1.0","checklist","FALSE","FALSE","SAMPLES ","SAMPLES ","Enviro 700X V1.0"
"8d9bac19-fb49-433f-a519-20915ad3a812","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SAMPLES ","SAMPLES ","Riser 12"
"94304194-bf10-40fc-ba30-2d97810b5b4c","","folder-normal","work-in-progress","","step","TRUE","FALSE","SAMPLES ","Level 4 hob "
"a705d769-806d-4c43-82ee-d903210aa881","","checklist-sectioned","work-in-progress","Enviro 700X V1.0","checklist","FALSE","FALSE","SAMPLES ","Level 4 hob ","Enviro 700X V1.0"
"ca74dcf2-5ec8-47c7-b8ba-5c9913341808","","folder-normal","work-in-progress","","step","TRUE","FALSE","SAMPLES ","Level 6 hob"
"379b7eb4-c754-4e30-87c6-9dc90795d30a","","checklist-sectioned","work-in-progress","Enviro 700X V1.0","checklist","FALSE","FALSE","SAMPLES ","Level 6 hob","Enviro 700X V1.0"
"cd739cd4-feaf-438a-9141-e154105a136a","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","SAMPLES ","Sealer V1.1"
"f1a204b9-f2e5-4089-b606-3788a874e4b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Slab Edges"
"f07d496e-c14e-43b4-b685-b80d05894e20","","folder-normal","work-in-progress","","step","TRUE","FALSE","Slab Edges","Level 4"
"68e197ea-2659-4241-8978-2376afda9c27","","checklist-sectioned","work-in-progress","Enviro P2 + 700X V1.1","checklist","FALSE","FALSE","Slab Edges","Level 4","slab edge "
"5d6eb480-4b3f-458c-875b-9888704d64f6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Slab Edges","Level 6 "
"8747f21c-48cc-41f9-b230-9733b966fef0","","checklist-sectioned","work-in-progress","Enviro P2 + 700X V1.1","checklist","FALSE","FALSE","Slab Edges","Level 6 ","slab edge"
"4a931eb5-5cc1-45b2-be35-15f13fb90a72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Sealer to Raiser Walls "
"2ed7a324-b7ad-4aaa-99a3-4cede2144e85","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 04 "
"ecf23ba2-4902-461a-8ae7-bed710069f2f","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 05"
"15f26b0d-e0ef-4268-b533-fb669ff75282","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 06 "
"9ec8e6f3-7e54-4ecd-bea1-566dc63d2797","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 07"
"b03a313e-4366-450d-97eb-045056fba7ce","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 08 "
"ab03e04c-3879-4de2-a4bf-1f4704387ef1","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 09 "
"77259b8f-7b26-4475-96c2-648e2df9d8ca","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 10 "
"589a60df-7f0c-4400-88ec-e9259c6a41f2","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 11"
"26f1e901-354d-4625-9f95-b4dabedb9800","","checklist-sectioned","work-in-progress","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 12 "
"3bfcbb5b-fc90-46e1-aa4a-90e597a4a231","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 13"
"28bdbf7c-15e7-43de-9353-a36b4bebe631","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 14"
"bcb7360f-69c0-4560-bf17-d8b68d077b4a","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 15"
"f95527e5-e3f8-49ae-9536-37923846b173","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 16"
"6ae2c5d7-0788-49a0-9e15-773dc652620f","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 17"
"e8561e54-203c-4df3-bb36-5acf5c9f1a36","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 18"
"737eddf0-1823-4a8a-9c35-7f2df67e3acf","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 19 "
"b7a7ac76-5725-4699-bd95-df9fb33313f5","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 20 "
"61858b9d-1299-4b7e-b649-748dc513a472","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","level 21"
"258f3fbc-e6a4-4a43-83bb-15d4f9201129","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 22"
"1db9a48c-cd03-406a-bca0-d3fc35806e17","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 23"
"2d5e417d-7b73-461a-81c5-8c502e338914","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 24"
"c729538c-3b6f-4237-88fd-340658d536a1","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 25"
"b127fd3a-ecf0-4e33-92f1-c2faadc9c3ba","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 26"
"34effc8e-8241-4948-bb38-8b8b4736d280","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 27 "
"619c4357-a67d-4fb1-8480-0b138eefcfec","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 28 "
"a70e5ff9-f42d-4079-ac42-47b72e963b18","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 29 "
"642dfef1-3753-4626-9cc1-219aa51e04a6","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 30"
"4a4b7b11-af32-4056-a909-db31868c1b2e","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 31"
"0b1f8560-ab8c-4d36-b8a7-45740306cb21","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 32"
"2645d438-c932-486e-a1c9-780819a0cc43","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 33"
"ba5c4f2b-534a-4535-af66-ea90fb638251","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 34"
"f181dbfd-678e-446b-8641-c6eb39631711","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 35 "
"776eaeef-5609-4ea2-bcc1-83a4e26d6b75","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 36 "
"b910967a-b68b-4ec6-a165-30250b384286","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 37 "
"f8bb3b13-aacb-4cdd-8c86-1d50c34403f8","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 38"
"e9b2c33d-d0d8-410a-bb34-295427fe2cfd","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","level 39 "
"b2efed08-518c-4c11-8bb3-60f6ab8e8ea0","","checklist-sectioned","not-started","Sealer V1.1","checklist","FALSE","FALSE","Sealer to Raiser Walls ","Level 40"
"3d8ab33c-9e4f-465c-b4d5-45ed03ed611d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Temp toilets/Showers"
"8008c9c8-3579-44c6-a5be-cf18e14a1ab2","","checklist-sectioned","work-in-progress","Enviro P2 + 700X V1.1","checklist","FALSE","FALSE","Temp toilets/Showers","Enviro 700x"
