"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cb881db-1c00-407d-898c-7d6432c74396","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"12012e26-b95c-42cb-8141-67cbc9c03db1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","HV1 Data Center"
"0a4142d9-5294-437c-9782-2991fded8299","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","HV1 Data Center","Ground Floor"
"40ca0e3f-35ac-4bc2-a769-39f4de6e6400","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P1"
"95235ae6-8534-55cd-84fb-c88ba2d85b2f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P1","Precast unit placed and temp props/brackets installed per propping design"
"c9e3cceb-fc90-5509-b7aa-f157f20cadd9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P1","Precast unit set to gridline/RL"
"2d9c934b-13a9-5aad-ab1a-54601efe6ce2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P1","Permanent brackets installed (where required)"
"fe4d2093-b104-5f20-a130-b0a1e5c5dff7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P1","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"797b7291-22a6-43dc-b39c-15fc0244cbc4","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P2"
"0a27351e-249d-56f6-9826-8d38a5fa0115","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P2","Precast unit placed and temp props/brackets installed per propping design"
"2bf5cf77-9314-56e8-8d50-830ff9457258","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P2","Precast unit set to gridline/RL"
"b29b21fe-800b-5b1b-86d8-137dd39ff72d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P2","Permanent brackets installed (where required)"
"a74e58d7-91a6-5e75-84ae-d7e63805b807","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P2","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"60fee7cd-7f82-4cb2-b6af-97be037c0f27","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P3"
"aaedacf0-e8c9-5ef1-8b52-8d5badc17195","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P3","Precast unit placed and temp props/brackets installed per propping design"
"7568d509-ce12-517b-98d0-5258922f6103","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P3","Precast unit set to gridline/RL"
"d02bac03-3a8c-5270-9e22-fcb19a190651","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P3","Permanent brackets installed (where required)"
"89429163-b4bf-5b50-88e3-055c194c244d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P3","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"d0847eed-18fa-4500-9f5a-7438fac01374","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P4"
"258bd6f3-b785-5b3b-89e6-3577057f7b04","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P4","Precast unit placed and temp props/brackets installed per propping design"
"0edb2f1b-cc29-556c-9d9e-d3f20ec20926","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P4","Precast unit set to gridline/RL"
"afe0816c-ee85-5e2c-b5a4-b3cbc8fd2c89","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P4","Permanent brackets installed (where required)"
"878362c4-503e-5e89-8749-75a71718348d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P4","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"f4a8ba26-8ca4-4d28-93b7-1feacc3334af","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P5"
"a61a46c2-f8d8-5d60-8127-d1afcf11f9bf","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P5","Precast unit placed and temp props/brackets installed per propping design"
"2bc589ed-74b4-57de-ad29-e7682996ac9b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P5","Precast unit set to gridline/RL"
"6665fb71-da60-5ee7-80a5-4ceb2428be49","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P5","Permanent brackets installed (where required)"
"ddbd322c-6827-55d6-a0a5-70dbb1a5f12c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P5","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"02acabb0-b9d0-4531-b947-ffcbecbce226","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P6"
"d7f987f1-387d-5548-aaf9-468519b05e95","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P6","Precast unit placed and temp props/brackets installed per propping design"
"01c27ea9-449b-5b99-885c-e48f69d4b9dd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P6","Precast unit set to gridline/RL"
"cd493404-d9c3-51a1-bc0c-a22d30e18ef4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P6","Permanent brackets installed (where required)"
"59236131-9f9a-5cbc-84f8-3e16e9c8adc7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P6","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"fc652b58-1d7f-4668-865f-7ef1a50076d7","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P7"
"44ca897d-2af5-58c6-96be-aa2325a1842d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P7","Precast unit placed and temp props/brackets installed per propping design"
"a5280a31-4c78-5f01-ab76-ef77bcc78417","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P7","Precast unit set to gridline/RL"
"6c6f9ab5-dc80-559c-ad49-e85ecbcca25b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P7","Permanent brackets installed (where required)"
"2943fee5-2dd1-5926-b590-bb0ed69cfaa6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P7","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"1e4113f2-0b84-430a-bcaf-132272e29f79","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P8"
"b3b3a33c-2f88-51e3-a714-3f3272c0f044","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P8","Precast unit placed and temp props/brackets installed per propping design"
"f0d96561-948a-5839-81bf-0a7aa3a681a8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P8","Precast unit set to gridline/RL"
"ea6e71df-40ab-53b3-8fc4-3444d6acd218","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P8","Permanent brackets installed (where required)"
"c14213da-5050-52b4-b287-657c54a14cd0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P8","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"2b0bdfc3-0a61-4606-9438-f42f0856b900","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P9"
"2dceff99-4e32-58fc-a963-3c336eee0e0e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P9","Precast unit placed and temp props/brackets installed per propping design"
"da663144-7e1d-5261-a65f-223deb811872","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P9","Precast unit set to gridline/RL"
"f4cdf1ca-8b70-5f40-a94b-09dcac709610","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P9","Permanent brackets installed (where required)"
"4b182fca-efd5-5e0e-aa3b-166a7f8fabd2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P9","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"d705152b-0618-48a7-8b73-766d3dbc81d9","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P10"
"2decb0f3-d7b5-50a0-a3b4-3344f09f8403","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P10","Precast unit placed and temp props/brackets installed per propping design"
"f5926449-9eea-5f89-a987-5caa5ae860e7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P10","Precast unit set to gridline/RL"
"e506d488-43c4-5113-b4d9-0b869cf0267d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P10","Permanent brackets installed (where required)"
"431a1ff7-5239-59fd-9a7a-2cd5ec58eb61","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P10","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"f75e3c02-5ca1-4b85-91a0-2148e7f091d2","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P11"
"677cef61-dcf2-548d-bd25-91399bb4d7e9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P11","Precast unit placed and temp props/brackets installed per propping design"
"4f83dc09-e902-58d7-a1f5-14711e1a361a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P11","Precast unit set to gridline/RL"
"975f23f6-17b2-5f03-9c97-d5f219ad9804","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P11","Permanent brackets installed (where required)"
