Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
0142d1f3-29c7-5223-8d4f-f28e6d5a6dab,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-1,Prepour Checks (Tables QA)
06cef533-8193-522a-b811-2e466a1df645,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-2,Prepour Checks (Tables QA)
7dc3e37f-8fb8-5c75-98de-3aac3ced1e21,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-3,Prepour Checks (Tables QA)
21aa7004-0271-5530-93ef-fdc4485d7ad8,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-4,Prepour Checks (Tables QA)
e364d67c-8932-599a-a719-398c88cee6d9,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-5,Prepour Checks (Tables QA)
a3288682-c06d-55e1-874c-093fca1e82e6,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-6,Prepour Checks (Tables QA)
ac793bc3-01b2-5713-a059-8433effdc709,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-7,Prepour Checks (Tables QA)
96f0d00e-a9a6-5ec3-af1a-891aafc99851,,checkpoint-group,work-in-progress,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-8,Prepour Checks (Tables QA)
87801499-11ae-541c-b9e6-9cf66a771495,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-9,Prepour Checks (Tables QA)
46379c2e-db3b-561f-bd0e-588f79806af3,,checkpoint-group,pass,,,FALSE,FALSE,Precast Manufacture,Panels,Ground Floor,RRG-10,Prepour Checks (Tables QA)
