"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b49cd561-e374-4b71-b8ea-7b2291de3f33","","not-started","Job Details Checklist","checklist","FALSE","FALSE","Job Details"
"05da8f88-6b0d-4a00-a4f4-9753d3abf97f","","fail","","folder","TRUE","FALSE","Precast Manufacture"
"82aefa15-4347-4f8b-bec6-d76bd8830d1c","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1"
"f4bb3268-1824-4997-86e6-eca3da97a38d","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS01"
"19cd7575-bd31-45c5-874e-6f4555e6ce5c","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS01","1GS01"
"ef3d8115-bb13-4390-998a-b34f4c012fb7","","not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS01","Defects"
"5fcbf8ef-6a54-44b6-b7bb-11dc87bdea48","","not-started","Site Works Defect #1 (Siteworks Manager)","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS01","Defects","Site Works Defect #1 "
"81987544-2d04-49c4-aefe-79b055d505f8","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS02"
"99f0fbb3-c029-48c4-9b3b-c4f14381c25f","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS02","Defects"
"f84021b8-ce55-4b2c-920e-3152f1d681d1","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS02","1GS02"
"a9734e82-fe4f-4a28-b8bd-fde3f80d0607","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS03"
"15964b73-dcdb-49da-87eb-60e208a01eea","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS03","Defects"
"8af0cd28-7739-48b1-92d5-61f6788daace","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS03","1GS03"
"cc7a31c2-18d4-4442-8026-d9488fe9289e","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS04"
"4b7997b7-8513-46d7-9fb6-eae4fa18e3bc","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS04","Defects"
"667d74ef-6e2c-401d-a783-0820f878733b","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS04","1GS04"
"9188a9b5-6673-4481-afb7-d860dc9646d9","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS05"
"8fba68ef-42bb-42e8-81fd-524369b36c65","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS05","Defects"
"bf19204c-4395-44b9-83ec-d760223443e9","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS05","1GS05"
"12ca3b3b-1f37-411f-b5d5-9f7be2bd0579","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS06"
"7f99fa3c-d907-44f0-98ac-62b893b5d83d","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS06","Defects"
"e4f0f40d-5b30-40b5-88fa-e4b11e1a7983","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS06","1GS06"
"e91b845a-acb6-4055-9490-e5be176f9779","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS07"
"f249a63b-d85b-4aa4-819b-8381da349865","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS07","Defects"
"e108905c-5f68-4714-b755-2af38b5dca9e","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS07","1GS07"
"a47f341e-a370-499c-928a-b74db783af49","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS08"
"54e01c5f-9a2e-4f00-910c-670acdf8d9ae","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS08","Defects"
"82252e26-b937-41ba-a0ba-fb20a3fcf2af","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS08","1GS08"
"ef78be82-090b-4eca-8049-5b70df760a07","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS09"
"349cc005-efac-48c4-895b-87434cc755cd","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS09","Defects"
"d7f3afea-0c26-483f-b8c7-39aa4845cfc1","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS09","1GS09"
"9bed8409-c7c1-4c91-899c-ec4976459e2f","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS10"
"58f5fb43-553f-434e-96ad-7ba454fb3806","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS10","Defects"
"f25f2557-34f1-4f27-9a8f-55652b47df49","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS10","1GS10"
"f61c03c8-2797-4b5d-a87f-74c5407252a6","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS11"
"1fdd48b1-29b8-4b84-857e-37f32121aaa6","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS11","Defects"
"b1886611-58be-49b5-9c03-38ea6fba8160","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS11","1GS11"
"68f9cb2f-096d-451c-8d5d-22fa9fdda982","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS12"
"654c95e6-abd7-4279-a1bb-ef3400d16cab","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS12","Defects"
"46f82364-ef5c-4764-9cf4-23c96b1d597a","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS12","1GS12"
"6a19229d-f02f-4958-91c3-93e85c3ac39c","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS13"
"d583a041-57bf-493e-b634-3b3796de2074","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS13","Defects"
"6d8bb6a9-8845-48c1-9e27-100bbab2350b","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS13","1GS13"
"666c695f-34bb-4cde-b01f-8ed343803931","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS14"
"2f70406b-ac92-458d-92c3-83dcefb88352","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS14","Defects"
"dec3d2a8-28ff-49d5-ad17-9a6486f534f4","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS14","1GS14"
"2787941c-2c68-41b7-b1be-64385a25d9ba","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS15"
"a2af4bef-5e19-4b9a-8ac7-15b35d48b7d5","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS15","Defects"
"afd80339-bdb1-4389-b6a5-c992fca79f28","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS15","1GS15"
"8d3f6270-e8ae-4cb4-bf9b-faa6bafbe1a1","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS16"
"5737f18e-803d-4b8a-9fbb-3e893a27e128","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS16","Defects"
"c9fd9acc-3254-4ba5-a728-0dd694691e21","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS16","1GS16"
"6f864fad-ab17-483b-8d42-6aa52d2d3302","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS17"
"f20c2a13-4037-4941-8b74-44df04620813","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS17","Defects"
"3fb227e9-c4ea-4282-a69e-18d383524897","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS17","1GS17"
"00fbb835-fb80-409b-a782-bf9621dc778c","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS18"
"bec05cab-d512-40ea-b17c-d1e4ea299d2c","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS18","Defects"
"93f0eb48-ff61-4ab3-83ac-c95760ec98d3","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS18","1GS18"
"707084b2-f4fc-495a-bfdc-c6168d55e47c","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS19"
"5c3d2085-1237-46e6-b6de-60e6a7aa84d1","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS19","Defects"
"91cb10fa-c950-4d33-9c55-003066b05e24","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS19","1GS19"
"844df9b1-9861-4f4a-89a0-9162842a6a74","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS20"
"f1047b7e-3669-4c73-8aee-e808f6a6d1b3","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS20","Defects"
"5f244a34-3e17-472c-a4a8-45d15d193e6f","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS20","1GS20"
"2f5338b0-19cc-45a6-9600-42d38b14607d","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS21"
"21536daf-3f4c-4530-a228-7dfda6501c6c","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS21","Defects"
"b50f7780-88dd-40f0-a569-46a61d376386","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS21","1GS21"
"6c7e2b57-6ba1-4a00-987a-8f72fb0dc1eb","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS22"
"bdcd1234-1178-4534-9037-1d8710874240","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS22","Defects"
"ffa1a064-cabb-4f45-9506-d6370eb3eddf","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS22","1GS22"
"11c67a95-197c-4555-985e-9437fc88f9ef","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS23"
"25a1af3d-be36-45a2-b286-cdc6a1bfff24","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS23","Defects"
"c47ee4c9-5d26-4d59-8d38-6b42e1925cce","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS23","1GS23"
"fb590b73-b809-4e4f-b16a-2ef44276462a","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS24"
"e10fcf6e-014d-4412-abaf-d6d990034c3c","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS24","Defects"
"a587a4ef-cb31-480b-89e4-6e6a97440dbc","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS24","1GS24"
"7bd9215c-db4c-4b6f-bd42-01a7fc3e022d","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS25"
"81229c31-7a57-46af-82dd-441e96659152","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS25","Defects"
"fdb1fc88-488e-42a4-b9f6-a5bc7dffd42d","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS25","1GS25"
"d4b47f96-c4d5-4042-99f0-8bba227252be","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS26"
"f305807b-c251-446d-a731-606d7ab5f090","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS26","Defects"
"ffd5f6d4-e06f-487d-873b-2da1099bdd03","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS26","1GS26"
"2b3cb361-d19e-4dab-965b-18ced879601b","","pass","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS27"
"72e4beae-72cd-4a4b-b8bc-cb8767a5c652","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS27","Defects"
"f5b0eb05-c3d2-43dd-ba95-ac52bd977326","","pass","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS27","1GS27"
"ebd4920a-9201-4671-8ba1-d7705c358b58","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS28"
"4cb53677-50f1-43b4-b833-50f28377c278","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS28","Defects"
"646a78e5-0a56-4519-9529-e62674ab27b9","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS28","1GS28"
"9cdfdf2b-5947-4af1-9ed5-b895d7e62cb5","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS29"
"e3c10ec4-76fb-424e-b209-4b6580b0e07e","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS29","Defects"
"25c62e2d-f9b8-45a4-bf86-1f7510469521","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS29","1GS29"
"629858c6-8be5-4823-a112-e327e5fdb0d0","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS30"
"16837e27-2d67-4508-a951-33a901b77a47","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS30","Defects"
"f4cba9c2-2d79-4385-ab33-525ac3206429","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS30","1GS30"
"1bc4bcfa-768f-4d2f-bd01-ba1f697eecf2","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS31"
"174c3917-73da-4000-a68f-c9f61856c024","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS31","Defects"
"40ee9fae-ebf5-4126-84b4-0d2c13a01a0b","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS31","1GS31"
"566f1470-a52e-4f38-b33f-6be68980c067","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS32"
"161a8117-70f9-47f8-8250-3115eefa2608","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS32","Defects"
"c8a1d734-b80f-46d6-bdd8-804cb90ef96f","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS32","1GS32"
"69ccde3a-d599-4d31-8c5f-16d1be358794","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS33"
"f12815c5-ab4d-49ba-afa1-e42a4eb8f27e","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS33","Defects"
"f35970ad-6e86-4f3f-a47f-7d3bad4bfa38","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS33","1GS33"
"5afb96bc-0f02-4614-a57c-e25c3258bf3c","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS34"
"f0b6311e-86bc-4353-8576-aa09b9b43768","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS34","Defects"
"dc672cbf-ef57-4e94-a168-50a709fe54a7","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS34","1GS34"
"47a98eeb-5f43-4ca7-ba76-97aedebff8bb","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS35"
"310e397e-ef81-4955-8859-6382772cd8f0","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS35","Defects"
"4ffd7e20-2b1c-4f85-a941-b5e32d178f52","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS35","1GS35"
"6300862d-1364-4c7c-aad0-2929edded044","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS36"
"b6a998d3-2aa9-4958-9b2c-544cdcb5bee4","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS36","Defects"
"fcbbb4cb-9d54-443d-9c6b-c7bef5884c1a","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS36","1GS36"
"0669f894-bb77-4f0b-bc08-14678a074d3f","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS37"
"315ec9d5-d57d-4dc7-a3d1-e6495df86a3d","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS37","Defects"
"35db7d28-d3c4-41bd-8389-2be2a355249e","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS37","1GS37"
"5ade81aa-1f3c-4fe9-a444-6629b333e776","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS38"
"aba8bb42-e91a-4e3d-9486-e1a53c96c3f4","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS38","Defects"
"44fd02e9-055f-4879-98e1-3033935e3ad6","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS38","1GS38"
"112bb12c-f646-4111-b5ad-480c86efbf5f","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS39"
"49ae0029-6eb2-4dc1-9519-ced240de1718","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS39","Defects"
"258c05db-215d-40c8-8911-0e1bb9cc1a76","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS39","1GS39"
"a0b8c3fb-8ae3-43b0-9279-fcad2920b5f2","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS40"
"0c870382-be54-4580-8e0d-e3f93afe2378","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS40","Defects"
"cae35c8c-c78e-4c30-8702-1bdd30a9b15e","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS40","1GS40"
"f6eab593-34b6-451d-9a8c-8db2ef0dbb40","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS41"
"40916834-c92b-4699-817b-e1aed8d014dd","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS41","Defects"
"db039c9b-5dcf-40b2-849c-03448798a5cb","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS41","1GS41"
"fe524870-5732-4f22-a30f-92f28aa5681f","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS42"
"575ceb73-1298-4b0d-abf5-b6c38e5c366d","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS42","Defects"
"e2cdf94d-fd9e-484d-8e7f-6d50fdae2922","","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS42","1GS42"
"46067510-595e-465b-a7d6-1d98e8bdd01c","","not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS43"
"29680470-b51c-4f14-938d-569f7d31d387","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS43","Defects"
"97426f86-5d4e-4671-b4fa-e864b6855645","","not-started","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS43","1GS43"
"47a2eea2-e141-4d85-ab53-fca3969a0eb7","","fail","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS44"
"9303737a-7998-48e7-8a7b-386b965e2cb6","","no-status-not-started","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS44","Defects"
"1e036fba-1e7f-4a5a-a897-30054f79196d","","fail","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Level 1","1GS44","1GS44"
"464eb22d-720f-4027-94c9-9208a3a68099","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Level 1","1GS45"
