resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Job Details Checklist,checklist,,,Job Details,,,,,,,,
,step,,,Precast Manufacture,,,,,,,,
1. Standard,checklist,,,,LSP01,,,,,,,
1. Standard,checklist,,,,LSP02,,,,,,,
1. Standard,checklist,,,,LSP03,,,,,,,
1. Standard,checklist,,,,LSP04,,,,,,,
1. Standard,checklist,,,,LSP05,,,,,,,
1. Standard,checklist,,,,LSP06,,,,,,,
1. Standard,checklist,,,,LSP07,,,,,,,
1. Standard,checklist,,,,LSP08,,,,,,,
1. Standard,checklist,,,,LSP09,,,,,,,
1. Standard,checklist,,,,LSP10,,,,,,,
1. Standard,checklist,,,,LSP11,,,,,,,
1. Standard,checklist,,,,LSP12,,,,,,,
1. Standard,checklist,,,,LSP13,,,,,,,
1. Standard,checklist,,,,LSP14,,,,,,,
1. Standard,checklist,,,,LSP15,,,,,,,
1. Standard,checklist,,,,LSP16,,,,,,,
1. Standard,checklist,,,,LSP17,,,,,,,
1. Standard,checklist,,,,LSP18,,,,,,,
1. Standard,checklist,,,,LSP19,,,,,,,
1. Standard,checklist,,,,LSP20,,,,,,,
1. Standard,checklist,,,,LSP21,,,,,,,
1. Standard,checklist,,,,LSP22,,,,,,,
1. Standard,checklist,,,,LSP23,,,,,,,
1. Standard,checklist,,,,LSP24,,,,,,,
