Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
de0867e1-f24b-54aa-9e20-bd6cda1a27d2,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL5-01 09/10,Post Pour,Mill certificate attached,
b3014970-8c54-5769-8717-851c728f2d42,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL5 02 10/10,Post Pour,Mill certificate attached,
f33f2d82-5deb-5a5b-abd1-db5d6d5c8f58,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL5-03 11/10,Post Pour,Mill certificate attached,
be2445b1-8f59-594b-857b-bd3fec07841c,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL5-04 12/10,Post Pour,Mill certificate attached,
2ddd5b7e-7e38-56c4-b0cd-afe4941a476b,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL5-05 13/10,Post Pour,Mill certificate attached,
2d7e2b50-5b69-5202-91fd-06d49e1a024a,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL-5 6 16/10,Post Pour,Mill certificate attached,
5072094f-3d9e-5cd9-8e85-8b2217acbe14,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL5,TL-5 7 18/10,Post Pour,Mill certificate attached,
3397ca36-d249-5173-b72c-c014a0cc9fba,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M- 01 05/10,Post Pour,Mill certificate attached
27a4a206-b44f-5fd0-94e4-26cd88fb8521,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-02 05/10,Post Pour,Mill certificate attached
6d2692d0-a265-57a9-b0cb-c2bcf872b25b,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-03 06/10,Post Pour,Mill certificate attached
