resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Optimised Staging,,,,,,,,
,step,,,,Install,,,,,,,
,step,,,,,Dry Fire,,,,,,
Dry Fire System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE INSTALLATION-NORTHERN CHECK IN,PFS-19057-FR-ITP-0001,,,,
Dry Fire System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE INSTALLATION-NORTHERN SCREENING,PFS-19057-FR-ITP-0002,,,,
Dry Fire System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE INSTALLATION-SOUTHERN CHECK IN,PFS-19057-FR-ITP-0003,,,,
Dry Fire System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE INSTALLATION-SOUTHERN SCREENING,PFS-19057-FR-ITP-0004,,,,
Dry Fire System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE INSTALLATION-CENTRAL CBS,PFS-19057-FR-ITP-0005,,,,
,step,,,,,Wet Fire,,,,,,
Sprinkler System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE INSTALLATION-NORTHERN CHECK IN,PFS-19057-FR-ITP-1001,,,,
Sprinkler System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE INSTALLATION-NORTHERN SCREENING,PFS-19057-FR-ITP-1002,,,,
Sprinkler System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE INSTALLATION-SOUTHERN CHECK IN,PFS-19057-FR-ITP-1003,,,,
Sprinkler System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE INSTALLATION-SOUTHERN SCREENING,PFS-19057-FR-ITP-1004,,,,
Sprinkler System Installation ITP,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE INSTALLATION-CENTRAL CBS,PFS-19057-FR-ITP-1005,,,,
,step,,,,,Hydrant,,,,,,
,step,,,,,Extinguishers,,,,,,
,step,,,,Commissioning,,,,,,,
,step,,,,,Dry Fire,,,,,,
Fire Detection System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE COMMISSIONING-NORTHERN CHECK IN,PFS-19057-FR-ITP-0501,,,,
Fire Detection System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE COMMISSIONING-NORTHERN SCREENING,PFS-19057-FR-ITP-0502,,,,
Fire Detection System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE COMMISSIONING-SOUTHERN CHECK IN,PFS-19057-FR-ITP-0503,,,,
Fire Detection System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE COMMISSIONING-SOUTHERN SCREENING,PFS-19057-FR-ITP-0504,,,,
Fire Detection System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-DRY FIRE COMMISSIONING-CENTRAL CBS,PFS-19057-FR-ITP-0505,,,,
,step,,,,,Wet Fire,,,,,,
Sprinkler System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE COMMISSIONING-NORTHERN CHECK IN,PFS-19057-FR-ITP-1501,,,,
Sprinkler System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE COMMISSIONING-NORTHERN SCREENING,PFS-19057-FR-ITP-1502,,,,
Sprinkler System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE COMMISSIONING-SOUTHERN CHECK IN,PFS-19057-FR-ITP-1503,,,,
Sprinkler System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE COMMISSIONING-SOUTHERN SCREENING,PFS-19057-FR-ITP-1504,,,,
Sprinkler System Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-WET FIRE COMMISSIONING-CENTRAL CBS,PFS-19057-FR-ITP-1505,,,,
,step,,,,,Hydrant,,,,,,
Hydrant Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-HYDRANT COMMISSIONING-NORTHERN CHECK IN,PFS-19057-FR-ITP-2501,,,,
Hydrant Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-HYDRANT COMMISSIONING-NORTHERN SCREENING,PFS-19057-FR-ITP-2502,,,,
Hydrant Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-HYDRANT COMMISSIONING-SOUTHERN CHECK IN,PFS-19057-FR-ITP-2503,,,,
Hydrant Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-HYDRANT COMMISSIONING-SOUTHERN SCREENING,PFS-19057-FR-ITP-2504,,,,
Hydrant Commissioning,checklist,,,,,,INSPECTION & TEST RECORD-HYDRANT COMMISSIONING-CENTRAL CBS,PFS-19057-FR-ITP-2505,,,,
,step,,,,,Extinguishers,,,,,,
