resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building A,,,,,,,,
,step,,,,Ground Floor,,,,,,,
Internal Drainage ,checklist,,,,,Internal Drainage ,,,,,,
Internal Stormwater ,checklist,,,,,Internal Stormwater ,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,
Meter Cupboard / Copper Riser ,checklist,,,,,Lobby,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.01,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.02,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.03,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.04,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.05,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.06,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.07,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.08,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.09,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.10,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.11,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,AG.12,,,,,,
,step,,,,Level 1,,,,,,,
Meter Cupboard / Copper Riser ,checklist,,,,,Corridor,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.01,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.02,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.03,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.04,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.05,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.06,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.07,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.08,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.09,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.10,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.11,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A1.12,,,,,,
,step,,,,Level 2,,,,,,,
Meter Cupboard / Copper Riser ,checklist,,,,,Corridor,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.01,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.02,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.03,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.04,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.05,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.06,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.07,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.08,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.09,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.10,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.11,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A2.12,,,,,,
,step,,,,Level 3,,,,,,,
Meter Cupboard / Copper Riser ,checklist,,,,,Corridor,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A3.01,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A3.02,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist ,checklist,,,,,A3.03,,,,,,
