type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,OPS-MIMP-QA-ITP-040,itp,,,,,,
section,1 - Preliminary,,,,,,,
checkpoint,1.1 - Survey and Setout,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - n/a,,,,,,,
label,Acceptance Criteria / Frequency - The contractor shall be responsible for engaging a licensed surveyor of Australia approved by the Superintendent to set out all works in accordance with the design drawings prior to the commencement of the works,,,,,,,
label,Frequency - Prior to commencement,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - HP,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - HP,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,1.2 - Material Procurement,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - n/a,,,,,,,
label,Acceptance Criteria / Frequency - RSA shall provide Senex with a copy of QA documentation that demonstrates compliance with material properties of each unit outlined in the SOW prior to commencing the work.,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - HP,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - HP,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,1.3 - Survey benchmark,,,,,,,
label,Work By - Principal,,,,,,,
label,Applicable Spec/Doc Ref - n/a,,,,,,,
label,Acceptance Criteria / Frequency - No material will be excavated until a joint survey of the existing surface has been performed by the contractor and the client.,,,,,,,
label,Frequency - Prior to commencement,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - HP,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - HP,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
holdpoint,HOLD POINT,,,,,,,
section,2 - Clear and Grub and Topsoil Strip,,,,,,,
checkpoint,2.1 - Clearing grubbing,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - OPS-MIMP-CS- GAR-014,,,,,,,
label,Acceptance Criteria / Frequency - Extent of clearing and grubbing to be confirmed with Senex. Roots and vegetation cleared shall be stockpiled at a location specified in the ESC plan,,,,,,,
label,Frequency - 1/Lot,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - VIS,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - VIS,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
checkpoint,2.2 - Topsoil Sripping,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - OPS-MIMP-CN- SOW-0009_1-MIMP Civil Earthwors Construction SoW,,,,,,,
label,Acceptance Criteria / Frequency - Application of gypsum before topsoil strip (0.5kg/m2/100mm layer). 150mm of Topsoil shall be stripped such that all organic-rich soil and roots/ rootlets have been removed from the foundation of the embankment and internal borrow areas.,,,,,,,
label,Frequency - 1/Lot,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - HP,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - HP,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2.3 - Stockpile of Materials,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - OPS-MIMP-CS- GAR-014,,,,,,,
label,"Acceptance Criteria / Frequency - Topsoil is to be placed in a loose, non-compacted state, to a maximum height of 3 metres, with batter slopes no greater than 1v:6H. The stockpile area must be clear of earthworks, drainage structures, obstructions, and other permanent works and must be free draining. Stripped topsoil shall be stockpiled where directed by the superintendent for reuse.",,,,,,,
label,○ Weed-contaminated soil is to be separated from non-contaminated soil stockpiles to prevent cross-contamination.,,,,,,,
label,Frequency - 1/Lot,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - HP,,,,,,,
label,RSA Verification: Authority - RSA,,,,,,,
label,Senex verification & Approval: Requirement - HP,,,,,,,
label,Senex verification & Approval: Authority - Senex,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2.4 - Survey after topsoil removal,,,,,,,
label,Work By - RSA,,,,,,,
label,Applicable Spec/Doc Ref - OPS-MIMP-CS- GAR-014,,,,,,,
label,Acceptance Criteria / Frequency - As-constructed survey has been completed to record the surface levels on completion of topsoil stripping.,,,,,,,
label,Frequency - As required,,,,,,,
label,Records - ITC,,,,,,,
label,RSA Verification: Requirement - CHK,,,,,,,
