resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,"Stage 9 (TH 1-10, 81, 82)",,,,,,,,
,step,,,,Façade,,,,,,,
,step,,,,,"TH01 (TH03, 04, 05, 06)",,,,,,
FC - S - Brick Works,checklist,,,,,,Brickworks,,,,,
,step,,,,,"TH02 (TH01,02)",,,,,,
FC - S - Brick Works,checklist,,,,,,Brickworks,,,,,
,step,,,,,"TH03 (TH 81, 82)",,,,,,
FC - S - Brick Works,checklist,,,,,,Brickworks,,,,,
,step,,,,,"TH07 (07, 08, 09, 10)",,,,,,
FC - S - Brick Works,checklist,,,,,,Brickworks,,,,,
