resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,,,,step,,,Hydraulic Services,,,,,,,,
,,,,,,,,,,,,,step,,,,Penetrations (includes Cast In),,,,,,,
,,,,,,,,,,,,,step,,,,,NORTH B1,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Ground,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 1,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 2,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 3,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 4,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 5,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 6,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 7,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH B1,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Ground,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 1,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 2,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 3,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 4,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 5,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 6,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 7,,,,,,
Peno - Floor,,,,,,,,,,,,,checklist,,,,,,Peno - Floor,,,,,
Peno - Syphonic,,,,,,,,,,,,,checklist,,,,,,Peno - Syphonic,,,,,
Peno - Wall,,,,,,,,,,,,,checklist,,,,,,Peno - Wall,,,,,
Peno - Cast In,,,,,,,,,,,,,checklist,,,,,,Peno - Cast In,,,,,
,,,,,,,,,,,,,step,,,,"Drains, Stacks & Vents",,,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Ground,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,TH01,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,TH02,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,TH03,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,TH04,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,TH05,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 1,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,106,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,107,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,108,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,109,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 1,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,101,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,102,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,103,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,104,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,105,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 2,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,208,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,209,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,210,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,211,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,212,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,213,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,214,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,215,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,216,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,217,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,218,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,219,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,220,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,221,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,222,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,223,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,224,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,225,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 2,,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,201,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,202,,,,,
"UQ Drains: Sewer, Stormwater & Vent - Underslung","UQ Stack Riser: Sewer, Vent, Trade Waste Vent & Stormwater",UQ Drains: Trade Waste - Underslung,,,,,,,,,,,folder-with-checklists,,,,,,203,,,,,
