Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,
a32effdf-88a5-4a1e-80f7-60f099859ef5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH01,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
fb1304c4-dcef-4a38-a13d-869bb2f4b1da,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH02,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
76b63b78-3e9e-4844-9f68-38c7797b8799,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH03,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
b403114d-485a-49f6-8101-6bc4a4a52e98,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH04,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
8e54fee0-dffb-4641-b511-d87fc1fd7aa7,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Ground,TH05,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
fccb9c0a-c7b0-4e44-a35e-26e038956be3,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,106,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
e2cccd9a-ea00-4ad3-85ec-03387aef83fb,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,107,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
d93ca7fa-0fd7-4cab-b6c9-d58534bd6629,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,108,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
2dd0f2b9-6f3f-4203-8459-54507d30b542,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 1,109,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0db886c0-e645-4cfb-850f-7de2e0f2c665,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,208,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4ebfafff-0c94-4ba9-ab5b-00e708b67509,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,209,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4ae8a240-f31c-4ce3-802d-0a896c6b1073,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,210,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
48a06f58-7f71-457f-b675-63d9d55a101f,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,211,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
b9662434-10bb-4eee-a43c-60592c8f39fe,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,212,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
96a54fc3-6175-4bb4-ae81-2769520de0bc,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,213,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
49d714cd-afaa-498a-9496-d3a1501ef931,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,214,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
073fab53-7bf7-43aa-b351-74b3125fb135,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,215,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
d4fa7042-f620-4ffb-8ed1-ead4586548aa,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,216,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
0a73c135-6ade-4bbf-982a-52ee6f578c27,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,217,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c5d9bf68-50d7-497d-8af4-aa7b6a4a6bab,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,218,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
94ba75b8-ac8e-4ed0-8eec-505093062ea5,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,219,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
c82d085e-ebc3-4a47-b0ca-7d8d7c899ba4,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,220,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
4e74566b-d842-44c1-bf6e-654d1336d160,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,221,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
f74bcd72-2ed8-47c0-babe-086f7b991e3d,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,222,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
59f29219-f8fe-4c3c-81e0-45b17841a7ca,,checklist-flat,not-started,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist-flat,FALSE,FALSE,Testing,NORTH Level 2,223,UQ Testing - Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,,,,
