resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building - B,,,,,,,,
,step,,,,Ground Floor,,,,,,,
,step,,,,,Zone 1,,,,,,
,step,,,,,Corridor & Riser,,,,,,
PHRP TST - Testing Potable Water - 1500kpa water test (not an air test),checklist,,,,,,PHRP TST - Testing Potable Water - 1500kpa water test (not an air test),,,,,
,step,,,,,B.00.01,,,,,,
PHRP TST (Air Test) Stormwater Drainage & Downpipe,checklist,,,,,,PHRP TST (Air Test) Stormwater Drainage & Downpipe,,,,,
PHRP TST (Air Test) Sanitary/Sewer Drainage & Downpipe,checklist,,,,,,PHRP TST (Air Test) Sanitary/Sewer Drainage & Downpipe,,,,,
PHRP TST - 1500kpa water Bump Test Couta Fittings (Potable) (not an air test),checklist,,,,,,PHRP TST - 1500kpa water Bump Test Couta Fittings (Potable) (not an air test),,,,,
PHRP TST - Testing Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist,,,,,,PHRP TST - Testing Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,
,step,,,,,B.00.02,,,,,,
PHRP TST (Air Test) Stormwater Drainage & Downpipe,checklist,,,,,,PHRP TST (Air Test) Stormwater Drainage & Downpipe,,,,,
PHRP TST (Air Test) Sanitary/Sewer Drainage & Downpipe,checklist,,,,,,PHRP TST (Air Test) Sanitary/Sewer Drainage & Downpipe,,,,,
PHRP TST - 1500kpa water Bump Test Couta Fittings (Potable) (not an air test),checklist,,,,,,PHRP TST - 1500kpa water Bump Test Couta Fittings (Potable) (not an air test),,,,,
PHRP TST - Testing Potable Water - 500kpa water test pressure sensitive valves (not an air test),checklist,,,,,,PHRP TST - Testing Potable Water - 500kpa water test pressure sensitive valves (not an air test),,,,,
,step,,,,,B.00.03,,,,,,
PHRP TST (Air Test) Stormwater Drainage & Downpipe,checklist,,,,,,PHRP TST (Air Test) Stormwater Drainage & Downpipe,,,,,
