Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Basement 2,grouping,basement 2,floor/wall penetrations,
,,zone 1,,basement 2,zone 1,floor/wall penetrations
,,pour 1,,pour 1,basement 2,floor/wall penetrations
,,pour 2,,basement 2,floor/wall penetrations,pour 2
,,lobby,,basement 2,lobby,floor/wall penetrations
,,Basement 1,grouping,floor/wall penetrations,basement 1,
,,zone 1,,zone 1,floor/wall penetrations,basement 1
,,pour 1,,pour 1,floor/wall penetrations,basement 1
,,pour 2,,floor/wall penetrations,basement 1,pour 2
,,lobby,,lobby,floor/wall penetrations,basement 1
,,Ground Level,grouping,ground level,floor/wall penetrations,
,,pour 1,,pour 1,ground level,floor/wall penetrations
,,pour 2,,ground level,floor/wall penetrations,pour 2
,,lobby,,ground level,lobby,floor/wall penetrations
,,Mezzanine Level,grouping,mezzanine level,floor/wall penetrations,
,,pour 1,,pour 1,mezzanine level,floor/wall penetrations
,,pour 2,,mezzanine level,floor/wall penetrations,pour 2
,,lobby,,mezzanine level,lobby,floor/wall penetrations
,,Level 1,grouping,level 1,floor/wall penetrations,
,,pour 2,,level 1,floor/wall penetrations,pour 2
,,lobby,,level 1,lobby,floor/wall penetrations
,,pour 1,,pour 1,level 1,floor/wall penetrations
,,Level 2,grouping,level 2,floor/wall penetrations,
,,zone 1,,level 2,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 2,floor/wall penetrations
,,pour 2,,level 2,floor/wall penetrations,pour 2
,,lobby,,level 2,lobby,floor/wall penetrations
,,Level 3,grouping,floor/wall penetrations,level 3,
,,zone 1,,zone 1,floor/wall penetrations,level 3
,,pour 1,,pour 1,floor/wall penetrations,level 3
,,pour 2,,floor/wall penetrations,level 3,pour 2
,,lobby,,lobby,floor/wall penetrations,level 3
,,Level 4,grouping,level 4,floor/wall penetrations,
,,zone 1,,level 4,zone 1,floor/wall penetrations
,,pour 1,,level 4,pour 1,floor/wall penetrations
,,pour 2,,level 4,floor/wall penetrations,pour 2
,,lobby,,level 4,lobby,floor/wall penetrations
,,Level 5,grouping,level 5,floor/wall penetrations,
,,zone 1,,level 5,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 5,floor/wall penetrations
,,pour 2,,level 5,floor/wall penetrations,pour 2
,,lobby,,level 5,lobby,floor/wall penetrations
