Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Fitoff,,,,,,
,Scope,,,Fitoff,,
,Rows,,,,,
,,Retail/tenancy (Basement 2 - to Level 1),grouping,Retail/tenancy (Basement 2 - to Level 1),,
,,Basement 2 - to Level 1,,Basement 2 - to Level 1,Retail/tenancy,Fitoff
,,Retail/tenancy (Basement 1),dynamic,Basement 1,Retail/tenancy,Fitoff
,,Retail/tenancy (Ground),dynamic,Ground,Retail/tenancy,Fitoff
,,Retail/tenancy (Level 1),dynamic,Level 1,Retail/tenancy,Fitoff
,,Indigo (Basement 2 to Roof),grouping,Indigo (Basement 2 to Roof),,
,,Basement 2 to Roof,,Basement 2 to Roof,Indigo,Fitoff
,,Indigo (Basement 2 to Roof),grouping,Indigo (Basement 2 to Roof),,
,,Basement 2 to Roof,,Basement 2 to Roof,Indigo,Fitoff
,,Indigo (Level 2),dynamic,Level 2,Indigo,Fitoff
,,Indigo (Level 3),dynamic,Level 3,Indigo,Fitoff
,,Indigo (Level 4),dynamic,Level 4,Indigo,Fitoff
,,Indigo (Level 5),dynamic,Level 5,Indigo,Fitoff
,,Indigo (Level 6),dynamic,Level 6,Indigo,Fitoff
,,Indigo (Level 7),dynamic,Level 7,Indigo,Fitoff
,,Indigo (Level 8),dynamic,Level 8,Indigo,Fitoff
,,Indigo (Level 9),dynamic,Level 9,Indigo,Fitoff
,,Indigo (Level 10),dynamic,Level 10,Indigo,Fitoff
,,Holiday Inn (Basement 2 to Roof),grouping,Holiday Inn (Basement 2 to Roof),,
,,Basement 2 to Roof,,Basement 2 to Roof,Holiday Inn,Fitoff
,,Holiday Inn (Level 2),dynamic,Level 2,Holiday Inn,Fitoff
,,Holiday Inn (Level 3),dynamic,Level 3,Holiday Inn,Fitoff
,,Holiday Inn (Level 4),dynamic,Level 4,Holiday Inn,Fitoff
,,Holiday Inn (Level 5),dynamic,Level 5,Holiday Inn,Fitoff
,,Holiday Inn (Level 6),dynamic,Level 6,Holiday Inn,Fitoff
,,Holiday Inn (Level 7),dynamic,Level 7,Holiday Inn,Fitoff
,,Holiday Inn (Level 8),dynamic,Level 8,Holiday Inn,Fitoff
,,Holiday Inn (Level 9),dynamic,Level 9,Holiday Inn,Fitoff
,,Holiday Inn (Level 10),dynamic,Level 10,Holiday Inn,Fitoff
,Columns,,,,,
,,Toilets & Cisterns,,Fit Off/ Fixture Install - Toilets & Cisterns,,
,,All Items,,Fit Off/ Fixture Install - All Items,,
,,Waste & Trap Clean Out,,Fit Off/ Fixture Install - Waste & Trap Clean Out,,
,,Wall Tundish,,Fit Off/ Fixture Install - Wall Tundish,,
,,Hose Taps,,Fit Off/ Fixture Install - Hose Taps,,
,,Gas Cooktop,,Fit Off/ Fixture Install - Gas Cooktop,,
,,Cleaners Sink,,Fit Off/ Fixture Install - Cleaners Sink,,
