Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
0f6f9879-625f-4c67-947f-6d16e71e5453,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Inground,,,
43017d3a-0d90-439b-82bc-d8dc88656582,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 2 - to Level 1,,
f2f03c9f-f8f9-4624-bc6c-bd532698beec,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 1,
d345538b-a60b-42dd-b6f1-163815270fcf,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 2,
bc086975-0e38-480c-af58-f0bb5ef6c1a0,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 3,
18e509f7-a0e6-4fa6-8c8c-9e9f1eb69642,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 4,
82bebb8b-75ce-414f-966e-0a6ff00d3aa4,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 5,
80522cab-d0d0-430a-b37a-713dd778c9a2,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Basement 1,Tenancy 6,
2591a90a-3a64-4fcd-b07f-d19ca1af0260,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 1,
bbeb81c9-80e8-4c50-bb18-bab16a19c7ef,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 2,
eab21822-7ca8-4745-a68e-659d86acc2e4,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 3,
f2502cd1-5cdc-4ab3-815f-e500ad4c93b4,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 4,
05ba61a4-907c-4b66-900f-d3bf6f23c38e,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 5,
72483752-feee-46b8-ba3b-35cb43d76405,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 6,
c0395928-376f-4b53-9385-c11a5ecf31b5,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 7,
cb564845-9dae-4a94-83e2-b799b7146315,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 8,
06360f8f-25e4-4ed5-9675-8d523c2ef250,,folder-normal,,,step,TRUE,FALSE,Commissioning/Handover,Retail/tenancy,Ground,Tenancy 9,
