type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,RR-SEPD-BESS-FIC-003-00 - Electrical trenching -,itp,,,,,RR-SEPD-BESS-FIC-003-00 - Electrical trenching,
section,Part 1 – Preliminaries (photos where applicable),,,,,,,
checkpoint,Review of approved construction drawings and specifications,,,,,,,
label,All drawings and specifications approved and up to date,,,,,,,
label,WBS-SS-CI-SPC-006,,,,,,,
checkpoint,Verification of permits,,,,,,,
label,All relevant permits (GDA/GDP) in place,,,,,,,
label,GDA/GDP,,,,,,,
checkpoint,Site access and safety preparation,,,,,,,
label,Site access cleared and made safe,,,,,,,
label,WBS-SS-CI-SPC-006,,,,,,,
checkpoint,Safety inductions and toolbox talks,,,,,,,
label,All personnel inducted; safety briefings completed,,,,,,,
label,Induction record,,,,,,,
checkpoint,Environmental controls in place,,,,,,,
label,"Dust, noise, and sediment barriers installed and functioning",,,,,,,
label,SEPD environmental requirements,,,,,,,
checkpoint,Utility identification,,,,,,,
label,All utilities marked as per drawings,,,,,,,
label,Project as-built drawings,,,,,,,
section,Part 2 – Set-out and excavation (photos where applicable),,,,,,,
checkpoint,Site set-out verification,,,,,,,
label,Set-out verified and matches IFC drawings,,,,,,,
label,Site IFC Drawings,,,,,,,
checkpoint,Accurate dimensions,,,,,,,
label,"Width, depth, and alignment match design drawings",,,,,,,
label,WBS-SS-EL-DRG-3005,,,,,,,
section,Part 3 – Excavation (photos where applicable),,,,,,,
checkpoint,Dimensions maintained,,,,,,,
label,Depth and width meet design specifications,,,,,,,
label,"WBS-SS-CI-SPC-006, WBS-SS-EL-DRG-3005",,,,,,,
checkpoint,Stockpiling of excavated material,,,,,,,
label,"Material stockpiled properly, no contamination",,,,,,,
label,WBS-SS-CI-SPC-006,,,,,,,
checkpoint,Stability of trench,,,,,,,
label,No loose soil or collapses; protective measures in place if trench is over 1.5m,,,,,,,
label,WBS-SS-CI-SPC-006,,,,,,,
checkpoint,Subbase inspection,,,,,,,
label,"Subgrade verified, compacted and stable",,,,,,,
label,Geotechnical report,,,,,,,
checkpoint,Subbase compaction testing,,,,,,,
label,Compaction results meet project criteria. 1 test every 40 linear meters and 1 every two layers.,,,,,,,
label,AS 1289 geotechnical report,,,,,,,
section,Part 4 – Fill material and compaction (photos where applicable),,,,,,,
checkpoint,Backfill material,,,,,,,
label,Approved material used for backfill,,,,,,,
label,WBS-SS-CI-SPC-0006,,,,,,,
checkpoint,Imported fill material testing,,,,,,,
label,"Material complies with particle size, moisture content, MMDD",,,,,,,
label,"WBS-SS-CI-SPC-0006, Test material results",,,,,,,
checkpoint,Fill placement in 150mm layers,,,,,,,
label,Layers placed in maximum 200mm (loose) thickness,,,,,,,
label,WBS-SS-CI-SPC-0006,,,,,,,
checkpoint,Compaction testing,,,,,,,
label,Compaction >92% MMDD for general fill,,,,,,,
label,AS 1289 Compaction test results,,,,,,,
checkpoint,Level and grading check,,,,,,,
label,Levels and grading match design tolerances (+/-20mm),,,,,,,
label,"WBS-SS-CI-SPC-0006, Survey Report",,,,,,,
section,Document Sign-off,,,,,,,
checkpoint,Prepared by:,,,,,,,
textbox,SEPD (Engineer) - Name:,,,,,,,
date,SEPD (Engineer) - Date:,,,,,,,
signoff,Add Signature,,,,,,,
,,,,,,,,
checklist,RR-SEPD-BESS-ITP-003-00 - Electrical trenching - Layer,itp,,,,,RR-SEPD-BESS-ITP-003-00 - Electrical trenching,
section,Section 1: Preliminaries & Permits,,,,,,,
checkpoint,1.1 - Pre-Excavation Site Inspection,,,,,,,
label,Responsibility - SE/PE,,,,,,,
label,Specification Reference - WBS-SS-CI-SPC-0006,,,,,,,
label,"Conformance Criteria Summary - Work area is clear, utilities and exclusion zones are clearly marked, permits are approved.",,,,,,,
label,Method - R,,,,,,,
label,Frequency - PW,,,,,,,
label,Hold/Witness Point Requirements: ROBAR - V,,,,,,,
label,Hold/Witness Point Requirements: SEPD - NA,,,,,,,
label,Hold/Witness Point Requirements: Client - NA,,,,,,,
checkpoint,1.2 - Permit approval (GDA/GDP),,,,,,,
label,Responsibility - SE/PE,,,,,,,
label,Specification Reference - WBS-SS-CI-SPC-0006,,,,,,,
label,Conformance Criteria Summary - Approved excavation permit (GDP) prior to commencing works,,,,,,,
label,Method - R,,,,,,,
label,Frequency - PW,,,,,,,
label,Hold/Witness Point Requirements: ROBAR - HP,,,,,,,
label,Hold/Witness Point Requirements: SEPD - HP,,,,,,,
label,Hold/Witness Point Requirements: Client - NA,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,1.3 - Site set-out,,,,,,,
label,Responsibility - SE/PE,,,,,,,
label,Specification Reference - WBS-SS-CI-SPC-0006,,,,,,,
label,"Conformance Criteria Summary - Verify levels, site boundaries, and physical bounds per IFC drawings",,,,,,,
label,Method - R,,,,,,,
label,Frequency - PW,,,,,,,
label,Hold/Witness Point Requirements: ROBAR - V,,,,,,,
label,Hold/Witness Point Requirements: SEPD - NA,,,,,,,
label,Hold/Witness Point Requirements: Client - NA,,,,,,,
checkpoint,1.4 - Sediment control plan,,,,,,,
label,Responsibility - SE/PE,,,,,,,
label,"Specification Reference - WBS-SS-PM- PLN-0024, WAE230103- 03-003 TM Rev0",,,,,,,
