resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,B05,,,,,,,,
,step,,,,Building B05 - On Site QA,,,,,,,
,step,,,,,Ground Level,,,,,,
Blockwork,checklist,,,,,,Area A - Gridline B and 4B,,,,,
Blockwork,checklist,,,,,,Area A - Gridline C and 4C,,,,,
Blockwork,checklist,,,,,,Area A - Gridline D and 4D,,,,,
Blockwork,checklist,,,,,,Area A - Gridline E,,,,,
Blockwork,checklist,,,,,,Area A - Gridline F,,,,,
Blockwork,checklist,,,,,,Area B - Gridline G,,,,,
Blockwork,checklist,,,,,,Area B - Gridline H,,,,,
Blockwork,checklist,,,,,,Area B - Gridline J,,,,,
Blockwork,checklist,,,,,,Area B - Gridline 1 and GH,,,,,
Blockwork,checklist,,,,,,Area B - Gridline 6 and GH,,,,,
,step,,,,,Level 1,,,,,,
Blockwork,checklist,,,,,,Area A - Gridline E,,,,,
Blockwork,checklist,,,,,,Area A - Gridline F,,,,,
Blockwork,checklist,,,,,,Area B - Gridline G,,,,,
Blockwork,checklist,,,,,,Area B - Lift,,,,,
Completion Documents,checklist,,,,Completion Documents,,,,,,,
