Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Option 1 - Overall Progress (Technical - Teal Call Solutions Ltd),,,,,,,
,Scope,,,Subcontractors,Option 1,Technical - Teal Call Solutions Ltd,
,Rows,,,,,,
,,Building Commissioning,,Subcontractors,Option 1,Technical - Teal Call Solutions Ltd,Building Commissioning
,,Level 1,dynamic,Subcontractors,Option 1,Technical - Teal Call Solutions Ltd,Level 1
,,Level 2,dynamic,Subcontractors,Option 1,Technical - Teal Call Solutions Ltd,Level 2
,,Level 3,dynamic,Subcontractors,Option 1,Technical - Teal Call Solutions Ltd,Level 3
,Columns,,,,,,
,,Inspection & test Plan uploaded,,Inspection & test Plan uploaded,,,
,,As-Builts,,As-Builts,,,
,,Commissioning Reports,,Commissioning Reports,,,
,,Cables through fire box at Apartment point of entry,,Cables through fire box at Apartment point of entry. (Attach Photos),Pre-wire,,
,,Cable through fire box into area,,Cable through fire box into area. (Attach Photos),Pre-wire,,
,,Existing Cable re-used,,Existing Cable re-used,Pre-wire,,
,,Distribution box,,Distribution box (Attach Photos),Fit-off,,
,,Nurse call points,,Nurse call points,Fit-off,,
,,Data/TV points,,Data/TV points,Fit-off,,
,,Nurse call installed,,Nurse call installed,Fit-off,,
,,Access control installed,,Access control installed.,Fit-off,,
,,CCTV Installed,,CCTV Installed,Fit-off,,
,,Intercom Installed,,Intercom Installed,Fit-off,,
,,Nurse call tested to pagers & Displays,,Nurse call tested to pagers and Displays,Testing & Commissioning,,
,,Data points tested,,Data points tested,Testing & Commissioning,,
,,MATV tested,,MATV tested,Testing & Commissioning,,
,,Access control programmed & tested,,Access control programmed & tested,Testing & Commissioning,,
,,CCTV Programmed & tested,,CCTV Programmed & tested,Testing & Commissioning,,
,,Intercom Programmed & tested,,Intercom Programmed & tested,Testing & Commissioning,,
,,Speakers Installed,,Speakers Installed,,,
,,Speakers Tested,,Speakers Tested,,,
,,Patch Panels terminated,,Patch Panels terminated (Attach rear photos of patch panels),,,
,,UPS Installed & connected to network,,UPS Installed and connected to network,,,
,,Power Supply's installed & batteries connected,,Power Supply's installed and batteries connected.,,,
,,Nurse call coordinator installed,,Nurse call coordinator installed,,,
,,Cabinet Labelled,,Cabinet Labelled,,,
,,Access control cabinet,,Access control cabinet,,,
,,,,,,,
Option 1 - Overall Progress (Painting & Patching - Rainbow Painters Ltd),,,,,,,
,Scope,,,Subcontractors,Option 1,Painting & Patching - Rainbow Painters Ltd,
,Rows,,,,,,
,,Building Commissioning,,Subcontractors,Option 1,Painting & Patching - Rainbow Painters Ltd,Building Commissioning
,,Level 1,dynamic,Subcontractors,Option 1,Painting & Patching - Rainbow Painters Ltd,Level 1
,,Level 2,dynamic,Subcontractors,Option 1,Painting & Patching - Rainbow Painters Ltd,Level 2
,,Level 3,dynamic,Subcontractors,Option 1,Painting & Patching - Rainbow Painters Ltd,Level 3
,Columns,,,,,,
,,Inspection & test Plan uploaded,,Inspection & test Plan uploaded,,,
