resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,B1 North GF,,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,G05,,,,,,,
Windows Installation Checklist,checklist,,,,,G06,,,,,,,
Windows Installation Checklist,checklist,,,,,G09,,,,,,,
Windows Installation Checklist,checklist,,,,,Tenancy,,,,,,,
,step,,,,B1 North L1,,,,,,,,
Windows Installation Checklist,checklist,,,,,108,,,,,,,
Windows Installation Checklist,checklist,,,,,109,,,,,,,
Windows Installation Checklist,checklist,,,,,110,,,,,,,
Windows Installation Checklist,checklist,,,,,111,,,,,,,
Windows Installation Checklist,checklist,,,,,112,,,,,,,
Windows Installation Checklist,checklist,,,,,113,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
,step,,,,B1 North L2,,,,,,,,
Windows Installation Checklist,checklist,,,,,208,,,,,,,
Windows Installation Checklist,checklist,,,,,209,,,,,,,
Windows Installation Checklist,checklist,,,,,210,,,,,,,
Windows Installation Checklist,checklist,,,,,211,,,,,,,
Windows Installation Checklist,checklist,,,,,212,,,,,,,
Windows Installation Checklist,checklist,,,,,213,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
,step,,,,B1 North L3,,,,,,,,
Windows Installation Checklist,checklist,,,,,308,,,,,,,
Windows Installation Checklist,checklist,,,,,309,,,,,,,
Windows Installation Checklist,checklist,,,,,310,,,,,,,
Windows Installation Checklist,checklist,,,,,311,,,,,,,
Windows Installation Checklist,checklist,,,,,312,,,,,,,
Windows Installation Checklist,checklist,,,,,313,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
,step,,,,B1 North L4,,,,,,,,
Windows Installation Checklist,checklist,,,,,408,,,,,,,
Windows Installation Checklist,checklist,,,,,409,,,,,,,
Windows Installation Checklist,checklist,,,,,410,,,,,,,
Windows Installation Checklist,checklist,,,,,411,,,,,,,
Windows Installation Checklist,checklist,,,,,412,,,,,,,
Windows Installation Checklist,checklist,,,,,413,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
,step,,,,B1 South GF,,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,G01,,,,,,,
Windows Installation Checklist,checklist,,,,,G02,,,,,,,
Windows Installation Checklist,checklist,,,,,G03,,,,,,,
Windows Installation Checklist,checklist,,,,,Tenancy,,,,,,,
,step,,,,B1 South L1,,,,,,,,
Windows Installation Checklist,checklist,,,,,101,,,,,,,
Windows Installation Checklist,checklist,,,,,102,,,,,,,
Windows Installation Checklist,checklist,,,,,103,,,,,,,
Windows Installation Checklist,checklist,,,,,104,,,,,,,
Windows Installation Checklist,checklist,,,,,105,,,,,,,
Windows Installation Checklist,checklist,,,,,106,,,,,,,
Windows Installation Checklist,checklist,,,,,107,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B1 South L2,,,,,,,,
Windows Installation Checklist,checklist,,,,,201,,,,,,,
Windows Installation Checklist,checklist,,,,,202,,,,,,,
Windows Installation Checklist,checklist,,,,,203,,,,,,,
Windows Installation Checklist,checklist,,,,,204,,,,,,,
Windows Installation Checklist,checklist,,,,,205,,,,,,,
Windows Installation Checklist,checklist,,,,,206,,,,,,,
Windows Installation Checklist,checklist,,,,,207,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B1 South L3,,,,,,,,
Windows Installation Checklist,checklist,,,,,301,,,,,,,
Windows Installation Checklist,checklist,,,,,302,,,,,,,
Windows Installation Checklist,checklist,,,,,303,,,,,,,
Windows Installation Checklist,checklist,,,,,304,,,,,,,
Windows Installation Checklist,checklist,,,,,305,,,,,,,
Windows Installation Checklist,checklist,,,,,306,,,,,,,
Windows Installation Checklist,checklist,,,,,307,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B1 South L4,,,,,,,,
Windows Installation Checklist,checklist,,,,,401,,,,,,,
Windows Installation Checklist,checklist,,,,,402,,,,,,,
Windows Installation Checklist,checklist,,,,,403,,,,,,,
Windows Installation Checklist,checklist,,,,,404,,,,,,,
Windows Installation Checklist,checklist,,,,,405,,,,,,,
Windows Installation Checklist,checklist,,,,,406,,,,,,,
Windows Installation Checklist,checklist,,,,,407,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B1 South L5,,,,,,,,
Windows Installation Checklist,checklist,,,,,501,,,,,,,
Windows Installation Checklist,checklist,,,,,502,,,,,,,
Windows Installation Checklist,checklist,,,,,503,,,,,,,
Windows Installation Checklist,checklist,,,,,504,,,,,,,
Windows Installation Checklist,checklist,,,,,505,,,,,,,
Windows Installation Checklist,checklist,,,,,506,,,,,,,
Windows Installation Checklist,checklist,,,,,507,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B1 South L6,,,,,,,,
Windows Installation Checklist,checklist,,,,,601,,,,,,,
Windows Installation Checklist,checklist,,,,,602,,,,,,,
Windows Installation Checklist,checklist,,,,,603,,,,,,,
Windows Installation Checklist,checklist,,,,,604,,,,,,,
Windows Installation Checklist,checklist,,,,,605,,,,,,,
Windows Installation Checklist,checklist,,,,,606,,,,,,,
Windows Installation Checklist,checklist,,,,,607,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
,step,,,,B2 North GF,,,,,,,,
Windows Installation Checklist,checklist,,,,,G03,,,,,,,
Windows Installation Checklist,checklist,,,,,G04,,,,,,,
Windows Installation Checklist,checklist,,,,,G05,,,,,,,
Windows Installation Checklist,checklist,,,,,G06,,,,,,,
Windows Installation Checklist,checklist,,,,,G07,,,,,,,
,step,,,,B2 North L1,,,,,,,,
Windows Installation Checklist,checklist,,,,,103,,,,,,,
Windows Installation Checklist,checklist,,,,,104,,,,,,,
Windows Installation Checklist,checklist,,,,,105,,,,,,,
Windows Installation Checklist,checklist,,,,,106,,,,,,,
Windows Installation Checklist,checklist,,,,,107,,,,,,,
,step,,,,B2 North L2,,,,,,,,
Windows Installation Checklist,checklist,,,,,203,,,,,,,
Windows Installation Checklist,checklist,,,,,204,,,,,,,
Windows Installation Checklist,checklist,,,,,205,,,,,,,
Windows Installation Checklist,checklist,,,,,206,,,,,,,
Windows Installation Checklist,checklist,,,,,207,,,,,,,
,step,,,,B2 North L3,,,,,,,,
Windows Installation Checklist,checklist,,,,,303,,,,,,,
Windows Installation Checklist,checklist,,,,,304,,,,,,,
Windows Installation Checklist,checklist,,,,,305,,,,,,,
Windows Installation Checklist,checklist,,,,,306,,,,,,,
Windows Installation Checklist,checklist,,,,,307,,,,,,,
,step,,,,B2 South GF,,,,,,,,
Windows Installation Checklist,checklist,,,,,Corridor,,,,,,,
Windows Installation Checklist,checklist,,,,,Fire Stair,,,,,,,
Windows Installation Checklist,checklist,,,,,G01,,,,,,,
Windows Installation Checklist,checklist,,,,,G02,,,,,,,
Windows Installation Checklist,checklist,,,,,G08,,,,,,,
,step,,,,B2 South L1,,,,,,,,
Windows Installation Checklist,checklist,,,,,101,,,,,,,
Windows Installation Checklist,checklist,,,,,102,,,,,,,
Windows Installation Checklist,checklist,,,,,108,,,,,,,
Windows Installation Checklist,checklist,,,,,109,,,,,,,
Windows Installation Checklist,checklist,,,,,110,,,,,,,
Windows Installation Checklist,checklist,,,,,111,,,,,,,
Windows Installation Checklist,checklist,,,,,112,,,,,,,
