resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,L1,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L2,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L3,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L4,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L5,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L6,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L7,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L8,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L9,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L10,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L11,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L12,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L13,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L14,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L15,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L16,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L17,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L18,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L19,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L20,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L21,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L22,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L23,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L24,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
Cabinet Installation Checklist (V.261121),checklist,,,,,Cabinet Installation,,,,,,
,step,,,,L25,,,,,,,
Fibre Installation Checklist (V.261121),checklist,,,,,Fibre Installation,,,,,,
UTP Installation Checklist (V.261121),checklist,,,,,UTP Installation,,,,,,
