"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bcc52695-ffe1-497e-b710-11219a802037","","checklist-flat","not-started","145daa2aaf83ce100e03308fa2592b119272de55359c236a0b0a3350dee5e8a6","checklist-flat","FALSE","FALSE","Job Details"
"9a5b974e-a83f-451d-8364-0dd9712def18","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Site Info"
"fa46c404-90db-40f0-ba35-84b0094781f4","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Latest Drawings"
"85406349-f2d0-47a8-9020-b54f71347fd3","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"592b5265-8872-4226-8897-79325dcd87f7","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"edbc0bb8-2c75-4d70-aec4-6fe886639369","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"8596af99-6183-4323-b8cd-7456a8ca379f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"bb773098-d9d7-449d-a543-214fbdffd740","","checklist-sectioned","work-in-progress","QA - Fibertite Warm Roof Over Plywood Checklist","checklist","FALSE","FALSE","QA","Plantroom Deck"
"e48db633-952b-402f-9187-9e6adf9150e5","","checkpoint-group","pass","","","TRUE","TRUE","QA","Plantroom Deck","Prestart"
"cc82882e-58e0-4613-96a4-df9ce26df255","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Prestart","Area accessible"
"4a68bf7a-24f1-4f4b-8f48-c4893f727386","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Prestart","Edge protection and safety installed"
"74a587e9-751d-4ff1-9376-d6d5af1d7c3a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Prestart","Substrate complete and ready for SWP"
"0caf8494-4ba0-4f58-b748-78414e99d4f6","","checkpoint-group","pass","","","TRUE","TRUE","QA","Plantroom Deck","Plywood Substrate"
"a056cc68-c228-404f-b7de-4e9ecf42dac0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Plywood Substrate","Substrate clean and dry. Free from dirt/debris contamination and ready for membrane"
"25ba45c5-45d2-4a2a-9a4d-d0a3bb443588","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Plywood Substrate","No Screws/nails/fixings poping up"
"9401bbe8-bdcc-4f88-b484-8915cf26b3a2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Plywood Substrate","Plywood joints flush and even"
"bc162585-e137-488f-9a46-9cf39e665d06","","checkpoint-group","pass","","","TRUE","TRUE","QA","Plantroom Deck","Vapor Control Layer"
"f0b73008-2f35-4e2e-a00a-03226cfc8e03","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Vapor Control Layer","Substrate clean, dry, and free of debris"
"78062abe-4c80-4ed2-ba55-8ed508bc8c92","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Vapor Control Layer","All areas covered and sheets lapped 50mm"
"9145aed2-337f-41d0-a6aa-e68583a6c344","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Vapor Control Layer","All holes/penetrations patched and water tight"
"d09fcf8f-e235-43e2-9fce-2012aa889511","","checkpoint-group","work-in-progress","","","TRUE","TRUE","QA","Plantroom Deck","Insulation"
"17bfc21d-6a74-40c1-b3fa-8e7b02f017f4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Insulation","Surface is dry prior to install"
"9b16b8c2-6d82-48f0-b724-fa222f0fdd90","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Insulation","Vapor control layer has been checked and no damage"
"c8079feb-7441-46b8-b2ff-7996b7faa4d8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Plantroom Deck","Insulation","Insulation boards installed"
