resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Rough In,,,,,,,
,step,,,,,B3,,,,,,
,step,,,,,,GEF-B3-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,Ground,,,,,,
,step,,,,,,CPSF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,CPEF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,GEF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,TEF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,SREF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,OAF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,FPSF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,FPEF-G-1,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,OAF-G-2,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,SSEF-G-2,,,,,
"Exhaust Diffusers (Basement, Ground, Roof)",checklist,,,,,,,Exhaust Diffusers,,,,
,step,,,,,,13.1,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,13.2,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,13.3,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.1,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.2,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.3,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.4,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.5,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,14.6,,,,,
"Indoor Units (Basement, Ground)",checklist,,,,,,,Indoor Units,,,,
Rangehoods,checklist,,,,,,,Rangehoods,,,,
External WPLS,checklist,,,,,,,External WPLS,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,ODU-13,,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,ODU-14,,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,Level 1,,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.01,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.02,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.03,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.04,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.05,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.06,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.07,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.08,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.09,,,,,
Apartment checklist,folder-with-checklists,,,,,,1.1,,,,,
,step,,,,,,BB.1.1,,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,BB.1.2,,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,,,,ODU 1,,,,,
Outdoor Units,checklist,,,,,,,Outdoor Units,,,,
,step,,,OH&S,,,,,,,,
,step,,,,SWMS attached,,,,,,,
,step,,,,Tool box,,,,,,,
,step,,,Variations,,,,,,,,
