type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Site Toolbox,,,,,,H&S - Site Toolbox Checklist
checkpoint,Employees Attending,,,,,,
checkpoint,Site Activity / Safe Work Practices / Accident-Incident Investigations Discussed,,,,,,
checkpoint,Employee issue raised,,,,,,
checkpoint,Safe Observations,,,,,,
checkpoint,JSEA completed,,,,,,
,,,,,,,
checklist,Daily Prestart -,,,,,,H&S - Daily Pre Start Checklist
checkpoint,Attendees documented,,,,,,
checkpoint,Where is each person working and what are they doing?,,,,,,
checkpoint,Are any permits required?,,,,,,
button,,"No,Yes",,,,,
checkpoint,Are there any work Hazards?,,,,,,
button,,"No,Yes",,,,,
checkpoint,A JSEA been completed & Approved?,,,,,,
checkpoint,Are there any concerns; Safety or Production?,,,,,,
button,,"No,Yes",,,,,
checkpoint,Everyone has got their minimum PPE for site and task related PPE,,,,,,
checkpoint,All plant tagged and in good condition,,,,,,
checkpoint,All employees have attended this meeting and are aware of their roles in safety and the daily hazards,,,,,,
