Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
e4a4cc94-eeb6-43d9-aa51-d4833c09edab,,not-started,,checkpoint,TRUE,TRUE,Site QA,Pre nail framing Checklist (Sample) ,Details,LVL beam connections,,,,
0a72bc3f-690f-4373-9232-b8e721fb7f60,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,Pre nail framing Checklist,Details,LVL beam connections,
f3be93da-310e-475c-af99-dc07908960ee,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (016) ,Pre-Nail Framing Checklist,Details,LVL beam connections
4e961585-fcbf-4285-8164-235a545b7aa1,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (017) ,Pre Nail Framing Checklist,Details,LVL beam connections
80711e15-9152-44b2-85ff-955cb435788f,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 1 (015) ,Pre Nail Framing Checklist,Details,LVL beam connections
c4d93926-2432-42db-8ee0-e0ff62646abf,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,ST1 (1022) ,Pre Nail Framing Checklist,Details,LVL beam connections
e1cbfd8d-0409-4231-ae35-0d7a30637dae,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (014) ,Pre Nail Framing Checklist,Details,LVL beam connections
5720f3ed-9b5c-4671-9ddb-f0440cdf65cd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A, DRUGS RM 1 (1021) ,Pre Nail Framing Checklist,Details,LVL beam connections
bc9c5c27-1d0f-437f-acb8-ca3c45dd4944,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 4 (013) ,Pre Nail Framing Checklist,Details,LVL beam connections
48c8f39f-4aa1-495e-8081-5f6ae68e1f17,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,ACTIVITES STORE (1023) ,Pre Nail Framing Checklist,Details,LVL beam connections
9f4dd701-bac2-4c10-90e8-950d312818b1,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,ACC. WC1 (1024) ,Pre Nail Framing Checklist,Details,LVL beam connections
61154bd3-006c-4a7a-b6bf-2abde26c0c3f,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,KITCHENETTE 1 (1025) ,Pre Nail Framing Checklist,Details,LVL beam connections
6058124d-b539-4872-8036-ce7c51bb352b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,CORRIDOR (1019),Pre nail framing Checklist,Details,LVL beam connections
65280719-488b-4f96-ab85-929b4bbbb877,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,MC2 (018),Pre Nail Framing Checklist,Details,LVL beam connections
93c46666-97f7-4562-94c7-ab6a71154b96,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,MC2 (019),Pre Nail Framing Checklist,Details,LVL beam connections
d64f905a-faf2-45d8-90c0-4867361e9709,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,PUMP ROOM (1033),Pre Nail Framing Checklist,Details,LVL beam connections
28290aef-8830-45c5-ad0b-ba96e6c1ee04,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,MAIN SWITCH ROOM (1034),Pre Nail Framing Checklist,Details,LVL beam connections
8aa8deaf-dfdf-4728-88be-063dcd8ecfa6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,COMMERCIAL LAUNDRY (1035),Pre Nail Framing Checklist,Details,LVL beam connections
ea28f65a-990a-4865-9b30-3fd593b54261,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,SERVER (1036),Pre Nail Framing Checklist,Details,LVL beam connections
a7b5f2f8-1fdd-4d41-83f5-c45bc92cb7dd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,ST2 (1038),Pre Nail Framing Checklist,Details,LVL beam connections
128d3815-5a71-4dfd-9c7a-69b27d1bc63a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,SLUICE RM 1 (1002),Pre Nail Framing Checklist,Details,LVL beam connections
2c94ef85-7fe1-402a-bf64-c2cb5c39471d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,LINEN 1 (1004),Pre Nail Framing Checklist ,Details,LVL beam connections
cbbf357c-7734-4c48-8885-6fd3dd2ac4a6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,CLEANERS 2 (1001),Pre Nail Framing Checklist,Details,LVL beam connections
d661bd7b-ac7b-4f4a-afff-59efeddff3a0,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1B ,MC4 (020),Pre Nail Framing Checklist,Details,LVL beam connections
