resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Ground Level,,,,,,,,
Airseal Checklist,checklist,,,,Generator A,,,,,,,
Airseal Checklist,checklist,,,,Generator B,,,,,,,
Airseal Checklist,checklist,,,,Generator C,,,,,,,
Airseal Checklist,checklist,,,,Generator D,,,,,,,
Airseal Checklist,checklist,,,,Generator Hallway,,,,,,,
Airseal Checklist,checklist,,,,IT Switchroom ,,,,,,,
Airseal Checklist,checklist,,,,Circulation Corridor,,,,,,,
Airseal Checklist,checklist,,,,Data Hall,,,,,,,
Airseal Checklist,checklist,,,,Client Store Room,,,,,,,
Airseal Checklist,checklist,,,,Hydraulic/Spinkler Room,,,,,,,
,step,,,Level 1,,,,,,,,
Airseal Checklist,checklist,,,,Generator A,,,,,,,
Airseal Checklist,checklist,,,,Generator B,,,,,,,
Airseal Checklist,checklist,,,,Generator C,,,,,,,
Airseal Checklist,checklist,,,,Generator D,,,,,,,
Airseal Checklist,checklist,,,,Generator Hallway,,,,,,,
Airseal Checklist,checklist,,,,IT Switchroom ,,,,,,,
Airseal Checklist,checklist,,,,Circulation Corridor,,,,,,,
Airseal Checklist,checklist,,,,Data Hall,,,,,,,
Airseal Checklist,checklist,,,,Client Store Room,,,,,,,
Airseal Checklist,checklist,,,,Hydraulic/Spinkler Room,,,,,,,
Airseal Checklist,checklist,,,,Perimeter Panels,,,,,,,
