resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Fit Out & Façade,,,,,,,,
,step,,,,Level 14,,,,,,,
,step,,,,,General,,,,,,
,step,,,,,,Curtain Wall,,,,,
,step,,,,,,Render (Core Walls),,,,,
Level Compliance,checklist,,,,,,Level Compliance,,,,,
,step,,,,,1401,,,,,,
,step,,,,,,Services rough-in,,,,,
Services Rough-in - Electrical,checklist,,,,,,,Electrical,,,,
Services Rough-in - Mechanical,checklist,,,,,,,Mechanical,,,,
Services Rough-in - Hydraulic,checklist,,,,,,,Hydraulic,,,,
Services Rough-in - Fire,checklist,,,,,,,Fire  ,,,,
Framing/Sheeting,checklist,,,,,,Framing/Sheeting,,,,,
,step,,,,,,Waterproofing,,,,,
Waterproofing - Internal Areas,checklist,,,,,,,Internal Areas,,,,
Waterproofing - Balcony Areas,checklist,,,,,,,Balcony Areas,,,,
,step,,,,,,Tiling & Paving,,,,,
,step,,,,,,,Internal Areas,,,,
,step,,,,,,,Balcony Paving,,,,
,step,,,,,,Joinery,,,,,
,step,,,,,,Apartment Finishes,,,,,
,step,,,,,,Defects Checklist,,,,,
