Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
ea16d1f3-1d54-4208-8a68-f34692cf1cf3,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 201,
f614ba7a-3558-4a80-a1b4-ccf8955903bb,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 202,
8324ae02-870d-475e-8865-caab52b9db21,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 203,
84b9f395-7b99-469d-8b62-8b7f998d297a,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 204,
9c375af6-e7a2-4fbf-8cdd-997c88227e61,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 207,
cac10ca1-f7e9-43d8-815d-3f123c609944,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 208,
bce03700-17c2-4bae-8ff9-2ea3bf86216e,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 209,
f9d3638f-34bc-4955-bb37-846edc22ccae,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 1,Apt 210,
666f18df-d7e3-4022-88cc-f0a64b013a7b,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 301,
92935781-928f-4885-95ed-3b9cb82c51a7,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 302,
ab6df3f1-706f-43b4-b236-f29a8f144c25,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 303,
a3beb544-18f6-471a-b741-2c7a75c05c0f,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 308,
5624b10f-561e-47b7-93c2-12a543afefe7,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 309,
8602776f-1d7a-489e-bba3-c98f0c2ca501,,checklist-flat,fail,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 2,Apt 310,
3f3723df-612b-4ad0-84b0-5de9b2e3dc82,,checklist-flat,work-in-progress,SYS - First Fix Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 4,Apt 504,
