Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
cb431789-644e-4372-b08a-52de64834422,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 101,
39799b79-e43b-4b0d-af5f-6b2c65b35af1,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 102,
7d02da8c-15ef-4317-93cf-b6098545b8dc,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 103,
ad8ad678-02b5-4e1d-bea8-993e1e296e8e,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 104,
4202ef55-086e-44b5-811d-e2c1c57e527f,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 105,
2afe0a01-f4d0-4554-9027-32e1273e4f9e,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 106,
4cef7d3b-7239-44ed-b47a-804e045e8235,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 107,
1d102aec-e5bd-4a65-963c-b43a40f3c3df,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Ground Floor,Apt 108,
9b09c1e0-9866-45e8-ae52-c83bf6ff5407,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 701,
be7e07e9-cbf1-41dd-bc45-dcc4549b70d6,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 702,
59f384a3-5c8a-432f-a88a-2ad1213594be,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 703,
490128b6-1c5c-4351-9929-68d4dfba87c3,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 704,
5b870ec6-c866-4a90-9a4c-01cb36d5efd1,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 705,
22fb5403-e101-42c0-b54e-4f81613002fb,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 706,
c5a9cbac-9265-4fde-8eb0-6988302f0a0d,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 707,
bf3261e6-a360-4df5-93a4-98e2d5bec0c0,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 708,
4f87ad54-1b6f-463b-9d3e-fdd42a190b8e,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 709,
18bcdce2-cf64-4427-a8d3-f7ea9335b2e9,,checklist-flat,fail,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 6,Apt 710,
d170d704-0416-4364-b398-c4c60f4c9d83,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 801,
df3ec8c3-9480-4a82-919b-344f674e88cd,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 802,
aaa5ee31-232e-42de-842b-2a81d7f78955,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 803,
39688e1c-1c3e-4b98-9042-7c8225e905f7,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 804,
693a6a8d-e070-4bfd-9944-9a92d7bd9a54,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 805,
577dbc2d-a4ee-4d6a-99e9-4f7f8572d454,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 806,
975e7cc9-1351-4b4a-980c-a3c8e30d4a81,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 807,
1cca6959-c4b9-4b93-94e3-451d0db23333,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 808,
1a76002a-0a4d-4cbd-91e9-ebaed4aeaa20,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 809,
89606aba-0800-432b-9def-f21ac64ce7b3,,checklist-flat,not-started,First Fix Checklist,checklist-flat,FALSE,FALSE,Site QA,First Fix,Level 7,Apt 810,
