Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Balcony Progress B02,,,,,,,,,
,Scope,,,B02,,,,,
,Rows,,,,,,,,
,,Ground Level (IA 71 - IA79),grouping,Ground Level (IA 71 - IA79),,,,,
,,IA 71,,B02,Ground Level,IA Ground Floor,IA 71,Balcony,Balcony Tiling Installation Checklist
,,IA72,,B02,Ground Level,IA Ground Floor,IA72,Balcony,Balcony Tiling Installation Checklist
,,IA73,,B02,Ground Level,IA Ground Floor,IA73,Balcony,Balcony Tiling Installation Checklist
,,IA74,,B02,Ground Level,IA Ground Floor,IA74,Balcony,Balcony Tiling Installation Checklist
,,IA75,,B02,Ground Level,IA Ground Floor,IA75,Balcony,Balcony Tiling Installation Checklist
,,IA76,,B02,Ground Level,IA Ground Floor,IA76,Balcony,Balcony Tiling Installation Checklist
,,IA77,,B02,Ground Level,IA Ground Floor,IA77,Balcony,Balcony Tiling Installation Checklist
,,IA78,,B02,Ground Level,IA Ground Floor,IA78,Balcony,Balcony Tiling Installation Checklist
,,IA79,,B02,Ground Level,IA Ground Floor,IA79,Balcony,Balcony Tiling Installation Checklist
,,IA First Floor (IA171 - IA179),grouping,IA First Floor (IA171 - IA179),,,,,
,,IA171,,B02,Level 1,IA First Floor,IA171,Balcony,Balcony Tiling Installation Checklist
,,IA172,,B02,Level 1,IA First Floor,IA172,Balcony,Balcony Tiling Installation Checklist
,,IA173,,B02,Level 1,IA First Floor,IA173,Balcony,Balcony Tiling Installation Checklist
,,IA174,,B02,Level 1,IA First Floor,IA174,Balcony,Balcony Tiling Installation Checklist
,,IA175,,B02,Level 1,IA First Floor,IA175,Balcony,Balcony Tiling Installation Checklist
,,IA176,,B02,Level 1,IA First Floor,IA176,Balcony,Balcony Tiling Installation Checklist
,,IA177,,B02,Level 1,IA First Floor,IA177,Balcony,Balcony Tiling Installation Checklist
,,IA178,,B02,Level 1,IA First Floor,IA178,Balcony,Balcony Tiling Installation Checklist
,,IA179,,B02,Level 1,IA First Floor,IA179,Balcony,Balcony Tiling Installation Checklist
,,IA Second Floor (IA271 - IA279),grouping,IA Second Floor (IA271 - IA279),,,,,
,,IA271,,B02,Level 2,IA Second Floor,IA271,Balcony,Balcony Tiling Installation Checklist
,,IA272,,B02,Level 2,IA Second Floor,IA272,Balcony,Balcony Tiling Installation Checklist
,,IA273,,B02,Level 2,IA Second Floor,IA273,Balcony,Balcony Tiling Installation Checklist
,,IA274,,B02,Level 2,IA Second Floor,IA274,Balcony,Balcony Tiling Installation Checklist
,,IA275,,B02,Level 2,IA Second Floor,IA275,Balcony,Balcony Tiling Installation Checklist
,,IA276,,B02,Level 2,IA Second Floor,IA276,Balcony,Balcony Tiling Installation Checklist
,,IA277,,B02,Level 2,IA Second Floor,IA277,Balcony,Balcony Tiling Installation Checklist
,,IA278,,B02,Level 2,IA Second Floor,IA278,Balcony,Balcony Tiling Installation Checklist
,,IA279,,B02,Level 2,IA Second Floor,IA279,Balcony,Balcony Tiling Installation Checklist
,Columns,,,,,,,,
,,"Area clear, tidy & accessible",,"Area clear, tidy and accessible",,,,,
,,Waterproofing installed,,Waterproofing installed (attach photos),,,,,
,,Windows set downs,Windows set downs,Waterproofing installed (attach photos),,,,,
,,Balcony Floor,Balcony Floor,Waterproofing installed (attach photos),,,,,
,,Screed completed,,Screed completed,,,,,
,,Previous substrate acceptable - Floor,,Previous substrate acceptable - Floor,,,,,
,,Paving & Pedestals installed as per specs.,,Paving and Pedestals installed as per specifications (attach photos),,,,,
,,Works completed 100% & area left clean/tidy,,Works completed 100% & area left clean/tidy,,,,,
