Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress (B04),,,,,,
,Scope,,,B04,,
,Rows,,,,,
,,Basement,dynamic,B04,Basement,
,,IA Ground Floor,grouping,IA Ground Floor,,
,,Common,,B04,IA Ground Floor,Common
,,IA,dynamic,B04,IA Ground Floor,IA
,,Level 1 - IA,dynamic,B04,Level 1,IA
,,Level 2 - IA,dynamic,B04,Level 2,IA
,,Level 3 - IA,dynamic,B04,Level 3,IA
,,Level 4,grouping,Level 4,,
,,Common,,B04,Level 4,Common
,,IA,dynamic,B04,Level 4,IA
,Columns,,,,,
,,Entry Lobby Stair 1,,Entry Lobby Stair 1,,
,,Entry Lobby Stair 2,,Entry Lobby Stair 2,,
,,Entry Lobby Lift 1,,Entry Lobby Lift 1,,
,,Entry Lobby Lift 2,,Entry Lobby Lift 2,,
,,Terrace,,Terrace,,
,,Terrace Toilet,,Terrace Toilet,,
,,Kitchen,,Kitchen,,
,,Bathroom,,Bathroom,,
,,Ensuite,,Ensuite,,
,,Sep Laundry,,Sep Laundry,,
,,Balcony,,Balcony,,
,,WC,,WC,,
