"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"28af1f95-1999-46d4-b0f0-83909d1f751c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"acdfd59a-6df7-48a7-ad78-fc4fe89c880c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix"
"3114dd71-4070-4265-a03d-77453aeff327","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation"
"c3211331-4d48-4016-a085-5c953467eb4f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","GF"
"ee979933-8959-48b5-a590-b6dfa04974f4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers"
"9ec68b5e-4c8c-4cb3-a988-9d072dacd531","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 5"
"7b2babb4-c641-49ee-978a-62562e863bec","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 10"
"92f811a9-5773-48ce-b8d8-54e6b7d230d8","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 15"
"1066c6d2-76f0-4f7e-9192-9b1bc93fe99a","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 20"
"cc879275-782b-4e1b-89cc-df38ea3945a5","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 25"
"8ac15b87-920c-4e92-9ebc-a6bf58a79d96","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 30"
"df04d0e2-4bb9-4457-82ec-296e3b01f7ad","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 35"
"85e819f0-87f9-40a1-bdea-2020779404da","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 40"
"b922c6b0-2c1a-4fe1-8f68-5d92f828dfe6","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Riser 45"
"8de08d2f-796a-4032-ab35-f1d1eeae3b12","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Water Risers","Return line"
"1817ced5-6eba-4e52-8d0c-f65d7eed9676","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers"
"96ce0590-a7a7-4926-973d-3922ead98e0e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 5"
"dd02f0d6-1fad-43e5-b15f-921ccecf0d6d","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 10"
"f5ed41a8-227a-4783-874a-874edd4d4112","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 15"
"9aa1abbd-54e7-4bfb-b404-b731cea88213","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 20"
"354d0481-2f28-454d-b1ee-5691be45d317","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 25"
"2f53d3ae-a3a8-41e8-a5f0-3644eb67fe2c","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 30"
"0c978acb-48ff-457d-95e6-3233c6181144","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 35"
"fc1c1a4a-4f78-4046-9569-2d204eb61da7","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 40"
"cc7000a7-d6a1-4287-a08f-c5794aee33a9","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 45"
"ed9df42d-122f-4c60-a67d-483ff2d8b21b","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 50"
"28fd5566-d107-416c-b3d0-b5d69c978685","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 55"
"7a9bd424-b70c-4319-8c38-ac2f4862d329","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 60"
"816c069d-17ee-4f87-912a-edf0c56b3e68","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 70"
"f5e9aaf0-b282-4b0c-942d-728abad31371","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 75"
"59fd1613-0a84-4d63-9a6b-af6d64480da3","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 80"
"0cf977ce-82f9-4670-8e22-54f16a9c35f9","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 85"
"4f8af030-f494-4542-8127-3c0cf5405fb0","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 90"
"83f3c502-9d8e-4853-a461-5485da2fb6be","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 95"
"bde3edba-207e-4870-9bea-e69d07fee33e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 100"
"316736a9-9a52-42f5-9225-d2a6a45604cb","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 110"
"ded38b95-98fd-457a-99fd-482d3a7a2bd3","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 115"
"9e5158d0-bc9e-463f-b7e4-8fb29e694e5a","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 120"
"69e261e2-ec3b-4766-a5b1-25cd5d4b5090","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 125"
"2ee33cc2-4f65-496d-b0e1-dc2399361262","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 130"
"9483960b-4c24-4c5f-b26b-e51faf97ae8e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 135"
"7e266147-3acf-452c-a8c5-1d764063ac34","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 140"
"14617e99-1f19-4631-9867-644f83b3466e","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 145"
"f24edee7-1a0f-4853-b82c-6e3f7d19eaf6","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 150"
"14ad77a5-e052-4dc5-9d36-d99e25d639a4","","checklist-flat","not-started","QA - Sewer Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Sewer Risers","RVS 155"
