resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,QA B05,,,,,,,,,,,
,step,,,,Level G,,,,,,,,,,
,step,,,,,Common Areas,,,,,,,,,
,step,,,,,,Carpark,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,Lobby,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,Corridor,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,Apartments,,,,,,,,,
,step,,,,,,A54,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,A55,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,Level 1,,,,,,,,,,
,step,,,,,Common Areas,,,,,,,,,
,step,,,,,,Lobby,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,Corridor,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,Apartments,,,,,,,,,
,step,,,,,,B54,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,B55,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,B56,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
,step,,,,,,B57,,,,,,,,
S - S - Fire Alarm ,checklist,,,,,,,S - S - Fire Alarm ,,,,,,,
S - S - Fire Sprinkler,checklist,,,,,,,S - S - Fire Sprinkler,,,,,,,
CST - S - Completion Documents,checklist,,,,Completion Documents,,,,,,,,,,
