resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Internal Services & Fit Out,,,,,,,,
,step,,,,Level 00,,,,,,,
,step,,,,,Zone 1 - Generator Build GL G-K/3-12,,,,,,
Project Fern Checklist,checklist,,,,,,Korok Wall Site Measure,,,,,
Project Fern Checklist,checklist,,,,,,Korok Wall Manufacture and Lead In,,,,,
Project Fern Checklist,checklist,,,,,,Korok Wall Installation,,,,,
Project Fern Checklist,checklist,,,,,,Plant Rooms,,,,,
,step,,,,,Zone 2 - Administration GL 1-4/J-K,,,,,,
,step,,,,,,Exterior Wall,,,,,
Project Fern Checklist,checklist,,,,,,,Exterior 120/120/120 Wall Framing,,,,
Project Fern Checklist,checklist,,,,,,,Council Inspection,,,,
Project Fern Checklist,checklist,,,,,,,Fire Line High Level Ceiling Interface,,,,
Project Fern Checklist,checklist,,,,,,,Council Inspection,,,,
Project Fern Checklist,checklist,,,,,,,Fire Line High Level Ceiling Interface,,,,
Project Fern Checklist,checklist,,,,,,,Fire Stop Wall Interface,,,,
,step,,,,,,Fire Rating To Underside of Lower Roof,,,,,
Project Fern Checklist,checklist,,,,,,,Install Rhondo Ceiling Frame,,,,
Project Fern Checklist,checklist,,,,,,,Service Nogging,,,,
Project Fern Checklist,checklist,,,,,,,Wall Head Framing Between Purlins,,,,
Project Fern Checklist,checklist,,,,,,,Service Hangers,,,,
Project Fern Checklist,checklist,,,,,,,Council Preline,,,,
Project Fern Checklist,checklist,,,,,,,GIB Line Layer 1,,,,
Project Fern Checklist,checklist,,,,,,,Fire Seal Edges,,,,
Project Fern Checklist,checklist,,,,,,,Council Inspection,,,,
Project Fern Checklist,checklist,,,,,,,GIB Line Layer 2,,,,
Project Fern Checklist,checklist,,,,,,,Council Inspection Screw Fixing,,,,
Project Fern Checklist,checklist,,,,,,,Stopping,,,,
Project Fern Checklist,checklist,,,,,,,Seal Coat to GIB,,,,
Project Fern Checklist,checklist,,,,,,,Light Checks,,,,
Project Fern Checklist,checklist,,,,,,,Colour Paint,,,,
Project Fern Checklist,checklist,,,,,,,Passive Fire Penetrations,,,,
,step,,,,,,Area A - Toilet Block/Cleaners,,,,,
Project Fern Checklist,checklist,,,,,,,Fire Line to Underside of Roof Completed,,,,
Project Fern Checklist,checklist,,,,,,,Floor Prep/ QA,,,,
Project Fern Checklist,checklist,,,,,,,Wall Setout,,,,
Project Fern Checklist,checklist,,,,,,,Sprinkler High Level,,,,
Project Fern Checklist,checklist,,,,,,,False Wall Frame Installation,,,,
Project Fern Checklist,checklist,,,,,,,Fixing/Nogging for services,,,,
Project Fern Checklist,checklist,,,,,,,Electrical High Level,,,,
Project Fern Checklist,checklist,,,,,,,Alarms High Level,,,,
Project Fern Checklist,checklist,,,,,,,Line 2.5 affl to Roof,,,,
Project Fern Checklist,checklist,,,,,,,Mechanical High Level,,,,
Project Fern Checklist,checklist,,,,,,,DCW Install,,,,
Project Fern Checklist,checklist,,,,,,,Sprinkler Low Level,,,,
Project Fern Checklist,checklist,,,,,,,Install Ceiling Grid,,,,
Project Fern Checklist,checklist,,,,,,,"Mechanical, Electrical & Hydraulic Install",,,,
Project Fern Checklist,checklist,,,,,,,Ceiling Insualtion,,,,
Project Fern Checklist,checklist,,,,,,,Southbase Preline QA,,,,
Project Fern Checklist,checklist,,,,,,,Council Sign Off,,,,
Project Fern Checklist,checklist,,,,,,,GIB Walls and Ceilings,,,,
Project Fern Checklist,checklist,,,,,,,Stopping,,,,
Project Fern Checklist,checklist,,,,,,,Light Checks,,,,
Project Fern Checklist,checklist,,,,,,,1 Top Coat,,,,
Project Fern Checklist,checklist,,,,,,,Door Installation,,,,
Project Fern Checklist,checklist,,,,,,,Door Architraves Install,,,,
Project Fern Checklist,checklist,,,,,,,Floor Coverings,,,,
Project Fern Checklist,checklist,,,,,,,Wall Tile Install,,,,
Project Fern Checklist,checklist,,,,,,,Final Paint,,,,
Project Fern Checklist,checklist,,,,,,,Services Seccond Fix,,,,
Project Fern Checklist,checklist,,,,,,,FF&E,,,,
Project Fern Checklist,checklist,,,,,,,Southbase QA,,,,
Project Fern Checklist,checklist,,,,,,,Defect Placeholder,,,,
Project Fern Checklist,checklist,,,,,,,Lockout Room,,,,
,step,,,,,,Area B - Inward Goods,,,,,
Project Fern Checklist,checklist,,,,,,,Fireline to underside of roof,,,,
Project Fern Checklist,checklist,,,,,,,Floor Remedail/ QA,,,,
Project Fern Checklist,checklist,,,,,,,Wall Setout,,,,
Project Fern Checklist,checklist,,,,,,,Korock Wall Install,,,,
Project Fern Checklist,checklist,,,,,,,Sprinkler High Level,,,,
Project Fern Checklist,checklist,,,,,,,Wall Frame Install,,,,
Project Fern Checklist,checklist,,,,,,,Fixing/Nogging for services,,,,
Project Fern Checklist,checklist,,,,,,,Electrical High Level,,,,
Project Fern Checklist,checklist,,,,,,,Alarms High Level,,,,
Project Fern Checklist,checklist,,,,,,,Line 2.5 affl to Roof,,,,
Project Fern Checklist,checklist,,,,,,,Stopping + Painting,,,,
Project Fern Checklist,checklist,,,,,,,Mechanical High Level,,,,
