Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Fit-off Gas Appliance,,Fit-off Gas Appliance,57090dbd-5038-4ba3-b79e-6d3882264324
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Fit-off photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage or leaks,,,
,checkpoint,Check fixing points are secure,,,
,checkpoint,Check level & alignment is correct,,,
,checkpoint,Check surrounding wall material is fire rated,,,
,checkpoint,Check distance from cook-top to range hood complies with manufacturer specification,,,
,checkpoint,Check surrounding walls to closest burner distance complies with manufacturer specification,,,
,checkpoint,Check flexible connections are not twisted or kinked,,,
,checkpoint,Check gas isolation valve,,,
,checkpoint,Check gas pressure regulator,,,
,checkpoint,Check all functions & controls for correct operation,,,
,,,,,
,checklist,Testing Gas Pipework (Above 7kPa),,Testing Gas Pipework (Above 7kPa),59546074-f202-493e-85e9-341380b25565
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Testing kit & equipment have current certification,,,
,checkpoint,Apply test as per latest revision of AS/NZS 5601.1 (2022) (Note: Start & Finish testing photos to be taken only within this Checkpoint),,,
,,,,,
,,,,,
,checklist,Commission Fixture Group,,Commission Fixture Group,6332ce8b-1db6-404d-b9a5-afa1401c91bf
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS 5601.1 (2022) (Note: Commissioning photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,"Check for any damage, leaks or missing components",,,
,checkpoint,Check level & alignment of all fixtures,,,
,checkpoint,"Check all fixtures, seats & covers are securely fastened",,,
,checkpoint,Check all valves are fully open,,,
,checkpoint,Check all flexible connections are not twisted or kinked,,,
,checkpoint,Check for water for cross connections,,,
,checkpoint,Check fixture wastes & connections,,,
,checkpoint,Check pipework & all traps are clear of debris,,,
,checkpoint,Check AAV is installed to correct height,,,
,checkpoint,Check future connection water valves are securely capped,,,
,checkpoint,Check TV do not exceed 50°C,,,
,checkpoint,Check TMV do not exceed 45°C,,,
,checkpoint,Check dishwasher function,,,
,checkpoint,Check gas valves & regulators,,,
,checkpoint,Check all gas burner functions,,,
,checkpoint,Check balcony hose tap,,,
,checkpoint,Check balcony floor grate & downpipe,,,
,checkpoint,Check all fixtures & tapware are operating as specified,,,
,checkpoint,Confirm area has been left clean,,,
,,,,,
,,,,,
,checklist,Commission Hot Water Generating Plant,,Commission Hot Water Generating Plant,7589f21d-d177-4b19-a3b2-f707cbe90945
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS 5601.1 (2022) (Note: Commissioning photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check valves are fully open,,,
,checkpoint,Check water filters are clean,,,
,checkpoint,Check gas supply,,,
,checkpoint,Check circulating pumps,,,
,checkpoint,Check flue operation,,,
,checkpoint,Check system auto start,,,
,checkpoint,Check flow & return temperatures,,,
,checkpoint,Check control panel display & set points,,,
,checkpoint,Check BMS connection (if specified),,,
,checkpoint,Provide the suppliers commissioning report & all plant documentation to this checkpoint,,,
,,,,,
,,,,,
,checklist,Testing Gas Pipework (7kPa or Less),,Testing Gas Pipework (7kPa or Less),aaf66933-4ded-44d4-b87a-f448db361fff
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Testing kit & equipment have current certification,,,
,checkpoint,Apply test as per latest revision of AS/NZS 5601.1 (2022) (Note: Start & Finish testing photos to be taken only within this Checkpoint),,,
,,,,,
,,,,,
