Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,
425548cd-23ab-515e-8808-5f24168cc8cc,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 12,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
04b43ceb-ff10-5237-9384-a943e6f152f0,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 13,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
2a6aae7a-1fdf-5c20-923c-46dad1331103,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 14,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
bdfb955a-ac20-5f0b-b063-e4a152d10dbd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 15,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
176e39bf-a2a8-5388-8148-cfb6ff325d0c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 16,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
7517890e-e60f-58b5-add7-3b9e33b350cc,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 17,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
ce8a3cb2-11a0-5481-92a7-65abcd1fc9fa,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 18,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
4718e931-3411-5451-8cfc-215d89afeb65,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 19,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
e507e8d5-a033-5554-914e-50fd18e2c518,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 20,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
b84e57eb-36c9-5dd0-875a-7bda81c80397,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 21,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
97bf327e-0f25-5c61-8359-7623571b2ffa,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 22,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
c235029b-73cb-5d47-8e1f-98717d242922,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 23,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
bc343f43-3b11-56f1-9bfb-9c5dc86363f4,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 24,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
b935ca1b-a044-58ca-97ea-76b929e317f5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 25,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
1238c112-5419-549b-baf5-b41d54fa13bd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 26,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
0573945e-96b8-5b3b-922f-72591609a937,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 27,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
67aac20f-8f32-5518-8ab0-c51f29100ad7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 28,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
2a264b3c-75e5-506e-b4ba-1b818628349c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 29,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
35ef1936-3dae-565a-b96c-2745cdd13c53,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 30,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
cb64ee1e-2b59-5afb-b6ca-b2dc761f4f91,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 31,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
b826c2b8-3e4e-5d62-a07e-54bcc4c4091a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 32,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
df9c62cc-caf5-5876-b17c-f9c406956226,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 33,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
6aa51b02-0b2c-5c13-b274-0d2c4933a8e6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 34,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
94d21433-7f2a-5049-940a-1cabb32e1e36,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 54,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
53c4186f-e4d3-58e7-a4ef-a259ebb02c77,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 55,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
6c4561f7-5e3e-5d07-ab57-195c8f1998f5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 56,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
80544e69-4db7-57e1-9592-46ce15f27907,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 57,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
e3c7afcc-f9e9-5dda-a6e5-8898f3bac096,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 58,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
3c150e64-2dea-5ea3-a1c2-af1d2595f057,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 59,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
05a74f82-c575-52c7-a430-4e52b44c62ce,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 60,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
ef2e4647-c5f9-513f-8263-bd9ff553f8a9,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 61,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
bf3fa787-fb4c-51f2-95d4-b01b9e343252,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 62,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
44031be9-99ab-557a-b749-81fccde51b40,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 63,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
e1b48d26-f026-5a1d-a05e-5d2218d34cf6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 64,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
c9f36393-1555-53e5-9779-5302a43bb59b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 65,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
c9ab9256-cf6a-589c-8f39-fee91ff15802,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 66,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
068f607e-b22e-5fd0-bbbf-9731c7fe51d7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 67,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
e255eabd-2bb0-5ca5-8f3c-46085e8f0459,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 68,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
d8f2182b-a582-55da-984a-0974671d730b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 69,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
e766ed7c-4c45-5910-a894-fc82ea59d05b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 70,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
25278858-f9af-5d82-986a-425cc5976fd4,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 1,Lot 71,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
3a402d7f-28fc-559a-97cc-77410d71b1da,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 01,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
4a92780a-a71d-52ef-9579-3ff0f49efada,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 02,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
33ee7ed6-bfaf-5f37-81fc-7a47231a1bff,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 03,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
5babd28f-b47c-5c18-bc93-893b4f1b686e,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 04,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
8558b3d2-dafb-5ac6-bd05-e3cedf304938,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 05,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
5d6c21db-2510-5c7b-9cfd-7842bd6cab6b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 06,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
8e025f7a-9803-51fb-9b4f-ad60d551e0c2,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 07,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
7d2385e1-6761-5741-81b1-58eb0a9a5c06,,not-started,,checkpoint,TRUE,TRUE,Site QA,Stage 2,Lot 08,Fit-off Plumbing Installation,Gas Appliance Installation,Details:,Installation complies with latest revision of AS/NZS-5601 (Note: Fit-off photos to be taken only within this Checkpoint)
