resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Drainage,,,,,,,
,step,,,,,Block 5A (North),,,,,,
,step,,,,,,Lot 501,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 502,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 503,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 504,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 505,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 506,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 507,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 508,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,Block 5A (South),,,,,,
,step,,,,,,Lot 509,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 510,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 511,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 512,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 513,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 514,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 515,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,Block 5B,,,,,,
,step,,,,,,Lot 516,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 517,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 518,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 519,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 520,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 521,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 522,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 523,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 524,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 525,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,,,Lot 526,,,,,
Install Sewer Drainage (In-ground),checklist,,,,,,,Install Sewer/Stormwater Drainage,,,,
,step,,,,Plumbing,,,,,,,
,step,,,,,Block 5A (North),,,,,,
,step,,,,,,Lot 501,,,,,
,step,,,,,,,Rough In (Above Ground),,,,
"Rough In - Above Ground High Level Mains & Riser Installations (Hot Water, Cold Water, Recycled Water, Gas, Pump Services, Fire Services)",checklist,,,,,,,,Hot Water,,,
"Rough In - Above Ground High Level Mains & Riser Installations (Hot Water, Cold Water, Recycled Water, Gas, Pump Services, Fire Services)",checklist,,,,,,,,Cold Water,,,
"Rough In - Above Ground High Level Mains & Riser Installations (Hot Water, Cold Water, Recycled Water, Gas, Pump Services, Fire Services)",checklist,,,,,,,,Recycled Water,,,
