resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 1,,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.11,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.14,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.07,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.DR.10,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.AM.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.03,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.05,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.06,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.07,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.08,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.09,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.10,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.11,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.12,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.13,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.14,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.15,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.16,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.17,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.18,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.AM.19,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1S.BH.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L1.FBB.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.AM.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.AM.06,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.AM.07,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.DR.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.DR.03,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.DR.06,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L2.DR.16,,,,,,,
,step,,,Level 3,,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.PC.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.PC.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.03,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.05,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.06,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.08,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.09,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.10,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.11,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.12,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.13,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.14,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.15,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.AM.16,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.BH.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L3.BH.02,,,,,,,
,step,,,Level 4,,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.01,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.02,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.03,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.04,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.05,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.06,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.07,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.AM.08,,,,,,,
ITP01 - Ceramic Tiling,checklist,,,,L4.PC.04,,,,,,,
