Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Power Fit Off & Lighting Fit Off,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Power Fit Off - Ground Floor,grouping,Power Fit Off - Ground Floor,,
,,Zone 6,,Zone 6,Ground Floor,Power Fit Off
,,Zone 10,,Zone 10,Ground Floor,Power Fit Off
,,Harris Farm,,Harris Farm,Ground Floor,Power Fit Off
,,Power Fit Off - Level 1,grouping,Power Fit Off - Level 1,,
,,Zone 10,,Zone 10,Level 1,Power Fit Off
,,Power Fit Off - Level 2,grouping,Power Fit Off - Level 2,,
,,Zone 10,,Zone 10,Level 2,Power Fit Off
,,Lighting Fit Off - Ground Floor,grouping,Lighting Fit Off - Ground Floor,,
,,Zone 6,,Zone 6,Ground Floor,Lighting Fit Off
,,Zone 10,,Zone 10,Ground Floor,Lighting Fit Off
,,Harris Farm,,Harris Farm,Ground Floor,Lighting Fit Off
,,Lighting Fit Off - Level 1,grouping,Lighting Fit Off - Level 1,,
,,Zone 10,,Zone 10,Level 1,Lighting Fit Off
,,Lighting Fit Off - Level 2,grouping,Lighting Fit Off - Level 2,,
,,Zone 10,,Zone 10,Level 2,Lighting Fit Off
,Columns,,,,,
,,Installed,,Installed,,
,,Polarity,,Polarity,,
,,Labelled,,Labelled,,
,,Drawing Marked Up,,Drawing Marked Up,,
,,Lamped,,Lamped,,
,,Diffuser,,Diffuser,,
,,Light Pole,,Light Pole,,
,,Light Control Installed,,Light Control Installed,,
