Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
b3a73c2f-9ac0-4e45-9369-b527129aedd2,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 1,Floor Plans,Site Glazing
5aeaebfd-a530-43cc-a9fd-bddcb40f609f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 2,Floor Plans,Site Glazing
92e75f38-ad77-43a7-9fde-dda84dcf7c9f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 3,Floor Plans,Site Glazing
9b053ec7-60c1-4c80-ad7b-f39f8c15d74b,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 4,Floor Plans,Site Glazing
223bc356-950c-4324-8c38-5e009a8843e5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 5,Floor Plans,Site Glazing
044588b9-b287-466b-aca7-3842fd5c01b5,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 6,Floor Plans,Site Glazing
11ce39f3-22d2-4cd7-9b86-9b8428ef31d8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 1 - PR-30272,Block 7,Floor Plans,Site Glazing
5bc09b56-53de-4438-8ef0-d77f8d45715a,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 2 - PR-20023,Block 8,Floor Plans,Site Glazing
ffed5962-932d-46f6-a1df-5b0cdc6d4e72,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 2 - PR-20023,Block 9,Floor Plans,Site Glazing
bee5fb72-5415-4c84-8f97-917ecee50493,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 2 - PR-20023,Block 10,Floor Plans,Site Glazing
bf1cd36a-bc6c-4806-a2ab-7994e46ae2a9,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 2 - PR-20023,Block 11,Floor Plans,Site Glazing
1d54f4cb-795a-4113-b010-9ad39eecf177,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Stage 2 - PR-20023,Block 12,Floor Plans,Site Glazing
