resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Sprinkler Pipe Installation Rough In,,,,,,,,
Sprinkler System Installation ITP,checklist,,,,Basement 2,,,,,,,
Sprinkler System Installation ITP,checklist,,,,Basement 1,,,,,,,
Sprinkler System Installation ITP,checklist,,,,Lower Ground,,,,,,,
Sprinkler System Installation ITP,checklist,,,,Upper Ground,,,,,,,
,step,,,,School,,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 1,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 2,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 3,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 4,,,,,,
,step,,,,Parish Hall,,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 1,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 2,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 3,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 4,,,,,,
,step,,,,RAC (Residential Aged Care),,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 1,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 2,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 3,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 4,,,,,,
,step,,,,RL (Retired Living),,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 5,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 6,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 7,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 8,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 9,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 10,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 11,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 12,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 13,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 14,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 15,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 16,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 17,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 18,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 19,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 20,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 21,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 22,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 23,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 24,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 25,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 26,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 27,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 28,,,,,,
Sprinkler System Installation ITP,checklist,,,,,Level 29,,,,,,
,step,,,Fire Detection Installation Rough In,,,,,,,,
