type,name,values,prefix,postfix,usage count,user addable,template name
checklist,1630-P200-SYM-QAC-ITP-0021 Conduit and Pit Installation,,,,,,1630-P200-SYM-QAC-ITP-0021 Conduit and Pit Installation
section,1.0 Pre-start activities,,,,,,
checkpoint,1.1 - Boring under Carriageways ,,,,,,
label,Ref docs - VR Clause 733.05,,,,,,
label,Acceptance criteria - Boring by water jet not permitted. ,,,,,,
label,• Detailed proposals for boring under carriageways shall be submitted to the superintendent for review two weeks prior to the programmed commencement of work.,,,,,,
button,Approval to proceed? ,"Yes,No,N/A",,,,,
label,Freq - Prior to start of works ,,,,,,
label,Key - H,,,,,,
label,Resp - SE,,,,,,
label,SI Key - H,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,
button,Lot map,"Yes,No,N/A",,,,,
checkpoint-no-status,1.1.2 - Environmental Permit,,,,,,
button,Environmental permit,"Yes,No,N/A",,,,,
section,2.0 Conduit Materials,,,,,,
checkpoint,2.1 - Material Conformance – Conduits and bends,,,,,,
label,Ref docs - VR Clause 733.02 Table 733.041,,,,,,
label,"Acceptance criteria - Conduits are correct type, class & diameter and comply with AS1477, AS2053, AS4130 (as relevant), unless noted otherwise.",,,,,,
label,"• Electrical – Heavy Duty Grade, Rigid orange UPVC conduit to AS/NZS 2053.2.",,,,,,
label,"• Communications – Heavy Duty Grade, Rigid White UPVC communication conduit to AS/NZS 2053.2.",,,,,,
button,Have all the above materials been approved? ,"Yes,No",,,,,
label,Freq - Each Lot & Each possession,,,,,,
label,Key - R,,,,,,
label,Resp - SE,,,,,,
label,Remarks/record - ,,,,,,
button,• Supplier Compliance Certificate,"Yes,No",,,,,
section,3.0 Conduit Cover,,,,,,
checkpoint,3.1 - Excavation and Cover Requirements,,,,,,
label,Ref docs - VR Clause 733.05 Table 733.051,,,,,,
label,Acceptance criteria - Cover requirements for both electrical and communications conduits shall be:,,,,,,
label,• Pavement surface to top of conduit minimum 1200 mm.,,,,,,
label,• Invert of open drain to top of conduit minimum 750 mm.,,,,,,
