type,name,values,prefix,postfix,usage count,user addable,template name
checklist,1630-P200-SYM-QAC-ITP-0056 Pavement Base Course (Crushed Rock),itp,,,,,1630-P200-SYM-QAC-ITP-0056 Pavement Base Course (Crushed Rock)
section,ITP Details,,,,,,
checkpoint,ITP Details,,,,,,
label,ITP No. - 1630-P200-SYM-QAC-ITP-0056,,,,,,
label,Rev No. - 00,,,,,,
label,Date of Issue - 09/01/2024,,,,,,
label,ITP Type - New,,,,,,
section,1.0 Pre-start activities,,,,,,
checkpoint,1.1 - Check Survey Set-out and TCM’s,,,,,,
label,"Acceptance criteria - Record existing TCM’s on TCM offset sheet. Survey set out including frame, benchmark, and recovery points in place.",,,,,,
label,Freq - Prior to start of Works,,,,,,
label,Key - H,,,,,,
label,Resp - SE,,,,,,
checkpoint,1.2 - Crushed Rock Mix Registration,,,,,,
label,"Ref docs - DoT812.04, DoT304.03",,,,,,
label,Acceptance criteria - HP: Crushed rock proposed is a current registered mix in accordance with VR500.02 and conforms to the specified requirements for that class.,,,,,,
label,○ Mix is registered by VicRoads as ‘General’.,,,,,,
label,Freq - Prior to start of works,,,,,,
label,Key - H,,,,,,
label,Resp - SE,,,,,,
label,SI Key - H,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,
button,Crushed Rock Mix Registration,"Yes,No",,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,
checkpoint,1.3 - Addition of Water,,,,,,
label,Ref docs - DoT304.03,,,,,,
label,"Acceptance criteria - Water added to the pavement will be clean and suitable for construction and substantially free from detrimental impurities such as oils, salts, acids, alkalis, and vegetable substances, and have no more 1000 mg/L of suspended solids.",,,,,,
label,Freq - Each Lot,,,,,,
label,Key - I,,,,,,
label,Resp - SE,,,,,,
section,2.0 Installation of Layer,,,,,,
checkpoint,2.1 - Maximum allowable lot size for a single layer of work.,,,,,,
label,Ref docs - DoT304.06(b) T.304.111,,,,,,
label,"Acceptance criteria - Each lot is a single layer of work, and its size is lesser of 4000m2 or one day’s production.",,,,,,
label,Freq - Each Lot,,,,,,
label,Key - I,,,,,,
label,Resp - SE,,,,,,
checkpoint,2.2 - Delivery Dockets,,,,,,
label,Ref docs - DoT304.05,,,,,,
label,"Acceptance criteria - Delivery dockets of the material supplier conform to the requirements outlined in specification VR304.05: Name of supplier, docket number, project name, nature and source of material, and supplier’s stockpile identification number.",,,,,,
label,Freq - Each Lot,,,,,,
label,Key - I,,,,,,
label,Resp - SE,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,
button,Delivery Dockets,"Yes,No",,,,,
checkpoint,2.3 - Conformity with Drawings,,,,,,
label,Ref docs - DoT304.06,,,,,,
label,"Acceptance criteria - Pavement course after compaction is smooth and uniform, and free of segregated areas and any water ponding.",,,,,,
label,Width,,,,,,
label,○ Width of each side of pavement is not less than specified offset width or more than 50mm outside specified offset width when measured at right angles from centre line or design line.,,,,,,
label,Surface Level,,,,,,
label,○ Pavement constructed to the lip level of kerb and channel is flush with the lip of the channel or not more than 5mm above.,,,,,,
