Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
6b50e293-f382-4d56-9555-6c05e8eed9d9,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 3,Balcony 4,QA Checklist: Structure Acceptance,
1a142c08-7c77-4005-a972-dfa151e737d3,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 3,Balcony 5,QA Checklist: Structure Acceptance,
50c72f97-e29c-4ca7-96a4-2e1f2569c749,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 3,Balcony 6,QA Checklist: Structure Acceptance,
325d2bae-ee1e-40ff-8c3e-ca32bcee65f2,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 3,Balcony 7,QA Checklist: Structure Acceptance,
64b37e94-7fef-489e-8aa8-1a4335878328,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 3,Balcony 8,QA Checklist: Structure Acceptance,
a155ab06-ac78-42d8-bc0d-bc0cde6ba4d1,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 4,Balcony 4,QA Checklist: Structure Acceptance,
9f72f8e1-99fc-40d0-b5cb-d7a841f7a69f,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 4,Balcony 5,QA Checklist: Structure Acceptance,
7b259a2c-a700-4271-925c-8b185da890d4,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 4,Balcony 6,QA Checklist: Structure Acceptance,
586b3913-9385-4a2c-b194-8fd1538ddeb0,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 4,Balcony 7,QA Checklist: Structure Acceptance,
0b388526-c421-4493-9ead-2e597e4d03b0,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 4,Balcony 8,QA Checklist: Structure Acceptance,
