"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"42ad3e4f-680e-42bc-913a-8a672bb2478b","","work-in-progress","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"7f87c156-b751-4b69-9aff-808ae3580d8e","","not-started","","folder","TRUE","FALSE","Basement"
"13be7c54-c5a4-4a0d-8900-7c4cfa211edc","","not-started","","folder","TRUE","FALSE","Basement","Lift Lobby"
"c3bac7c5-9e16-4f2d-9ab1-5c70f4298980","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Basement","Lift Lobby","QA- Floor/wall prep"
"a3b00d4a-a74f-4cb1-8661-94ca38e54997","","not-started","QA- Tiling Installation - Floors","checklist","FALSE","FALSE","Basement","Lift Lobby","QA- Tiling Installation Floor"
"f30caef3-9e07-48ec-96b1-d4b32e297006","","not-started","QA-Other Information","checklist","FALSE","FALSE","Basement","Lift Lobby","QA- Other information"
"967ea706-9ed2-4692-8538-8f508e0b96a9","","fail","","folder","TRUE","FALSE","Level 0 (Ground)"
"59a5791c-3e26-45fa-ad85-c5c8231a6549","","fail","","folder","TRUE","FALSE","Level 0 (Ground)","G01"
"db92e7da-d79b-45c8-bc6f-3b4f26c0bac0","","fail","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G01","QA- Wall/Floor prep"
"41a018c8-e52d-4f76-9386-32059d256a12","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G01","QA- waterproofing"
"9fec2e2c-8687-40a7-b0a7-ba6ae287d6f6","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G01","QA- Tiling Installation walls"
"52dd7509-c691-4360-bbfc-7c31892aa797","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G01","QA-Other Information"
"2a8e9abc-9609-4049-b664-576dde2a4d6d","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G02"
"4b3561a3-cf43-4999-9f59-ba82c70cdbd4","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G02","QA- Wall/Floor prep"
"7ef7477a-6035-48b0-b720-5987a5ff3f76","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G02","QA- waterproofing"
"9923d2bd-d436-4d18-9b29-229cace7d6f3","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G02","QA- Tiling Installation walls"
"e02331a9-4203-4115-8a93-a6d86ac482c4","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G02","QA-Other Information"
"f071fd3d-0205-4941-a246-4a57b91d9191","","work-in-progress","","folder","TRUE","FALSE","Level 0 (Ground)","G03"
"17a68ff4-d8c5-478f-8eca-cd13880c9d08","","work-in-progress","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G03","QA- Wall/Floor prep"
"dd2eceda-ab8f-4f31-b078-52892303f54e","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G03","QA- waterproofing"
"cd3947c2-9bb4-432f-bcf9-b09445dec88b","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G03","QA- Tiling Installation walls"
"3d1c008b-81f2-4def-9cc9-04a765ae7e3a","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G03","QA-Other Information"
"e365a041-bf2e-4b13-b888-2f525d1f2f65","","fail","","folder","TRUE","FALSE","Level 0 (Ground)","G04"
"4d4ceb01-ea5b-48db-a8ef-29919614441d","","fail","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G04","QA- Wall/Floor prep"
"5f07a624-3b82-42f9-bcaa-2c3aa0c8a015","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G04","QA- waterproofing"
"56be9acb-4731-47ee-97a7-479532aed2b1","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G04","QA- Tiling Installation walls"
"f36a8e1c-15c2-43c9-abef-284cf13fa54c","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G04","QA-Other Information"
"d9e0f940-6325-476d-8243-630bd675e6f4","","work-in-progress","","folder","TRUE","FALSE","Level 0 (Ground)","G05"
"4b4a1196-703b-4e7c-88ab-fe79985fc6d5","","work-in-progress","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G05","QA- Wall/Floor prep"
"0bd3cb8e-f6a6-46bb-90f2-9498d4768450","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G05","QA- waterproofing"
