resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Prestart Inspections,checklist,,,Prestart Inspections,,,,,,,,
,step,,,Unit 1,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 2,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 3,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 4,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 5,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 6 ,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
,step,,,Unit 7 ,,,,,,,,
QA - Floor Prep Bathrooms,checklist,,,,QA - Floor Prep Bathrooms,,,,,,,
QA - Waterproofing,checklist,,,,QA - Waterproofing,,,,,,,
QA - Tiling Installation,checklist,,,,QA - Tiling Installation,,,,,,,
QA - Kitchen Splashback Installation,checklist,,,,QA - Kitchen Splashback Installation,,,,,,,
QA - Vanity Splashback Installation,checklist,,,,QA - Vanity Splashback Installation,,,,,,,
QA - Laundry Splashback Installation,checklist,,,,QA - Laundry Splashback Installation,,,,,,,
