Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
367a5b50-97a0-56ce-a944-e25da3054918,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,1. N17-GF-L-S2ST,External wall Lining & Finishes Checklists
9f131620-89e6-5657-9849-0fd6581fbf8f,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,2. N17-L1-L-S2ST,External wall Lining & Finishes Checklists
ce639b86-0409-5976-b62c-c25faec3416b,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,3. N17-L2-L-S2ST,External wall Lining & Finishes Checklists
d9c1ddc0-5d6a-5b82-ad09-9e837c0ce48a,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,4. N17-L3-L-S2ST,External wall Lining & Finishes Checklists
d9215c35-88ab-5181-9d4c-9799fb3503d2,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,5. N17-L4-L-S2ST,External wall Lining & Finishes Checklists
b17a7cad-ae33-5dc8-afc4-7d901dbd04f8,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,6. N17-L5-L-S2ST,External wall Lining & Finishes Checklists
49efd4d8-db4c-5899-ad27-9414494e0a76,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,7. N17-TOP-L-S2ST,External wall Lining & Finishes Checklists
be3b9065-62fb-589d-9f1b-be2036b74c0f,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,8. N17-GF-R-S1ST,External wall Lining & Finishes Checklists
0191f886-3894-5c00-88e7-9783788584a8,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,9. N17-L1-R-S1ST,External wall Lining & Finishes Checklists
1527abc9-4b21-5436-a70d-4a6c98a208b3,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,10. N17-L2-R-S1ST,External wall Lining & Finishes Checklists
f5d41b60-311b-5891-b1f1-26b0ce5cc664,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,11. N17-L3-R-S1ST,External wall Lining & Finishes Checklists
3bfedae7-8fe6-5b49-8fe3-4e1bdaddf880,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,12. N17-L4-R-S1ST,External wall Lining & Finishes Checklists
2263aa03-2519-5c56-846b-90db3055bb93,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,13. N17-L5-R-S1ST,External wall Lining & Finishes Checklists
32f918f9-0865-5f6b-8def-d170897d4eb9,,checkpoint-group,pass,,,FALSE,FALSE,Offsite QA (Factory),N17,Liftcore/Staircase Modules,14. N17-TOP-R-S1ST,External wall Lining & Finishes Checklists
1d72bbeb-b3a3-4c4c-a37e-549acf0d95f0,,checklist-sectioned,pass,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 1 (Dark Option),M1-1E,External Wall Lining & Finishes Checklist
ddfed529-95dd-473d-840d-103d6e370547,,checklist-sectioned,pass,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 1 (Dark Option),M1-2E,External Wall Lining & Finishes Checklist
f2500542-b21f-4b63-b9f2-9b497897154e,,checklist-sectioned,work-in-progress,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 1 (Dark Option),M1-3E,External Wall Lining & Finishes Checklist
f9b63117-197b-4411-ae61-db0a71f8ee64,,checklist-sectioned,not-started,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 2 (Light Option),M1-1E,External Wall Lining & Finishes Checklist
66b6e79f-07b9-4d4d-a4e3-2aa0b76af785,,checklist-sectioned,not-started,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 2 (Light Option),M1-2E,External Wall Lining & Finishes Checklist
fc408b8a-2c69-4db6-9fc2-7066871cd7c0,,checklist-sectioned,not-started,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,HLCP 2 (Light Option),M1-3E,External Wall Lining & Finishes Checklist
54d5b23b-07f6-51e1-a252-2133f9bfb6e7,,checklist-sectioned,work-in-progress,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,SHOW FLAT,HLC-SF-M1-1-407,External Wall Lining & Finishes Checklist
d16e60d1-fad3-53e7-a5bf-8483faa3df32,,checklist-sectioned,work-in-progress,a827f8074d73eb131daed660ef92bf8e8242555a81d261f52f06f06a583750e1,checklist,FALSE,FALSE,Offsite QA (Factory),Prototype,SHOW FLAT,HLC-SF-M1-2-408,External Wall Lining & Finishes Checklist
