type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,CS-4095 - Spunlite - Pile Foundation Checksheet,,,,,,CS-4095 - Spunlite - Pile Foundation Checksheet
checkpoint-no-status,Details,,,,,,
textbox,Project Area:,,,,,,
textbox,Supervisor:,,,,,,
textbox,Site Engineer:,,,,,,
textbox,Pile Number:,,,,,,
textbox,Location Reference: ,,,,,,
textbox,Service Investigation: ,,,,,,
checkpoint,PRE-PILING SUMMARY,,,,,,
textbox,Piling Foreman/Supervisor:,,,,,,
date,Hydro-excavation Date:,,,,,,
textbox,Casing Length:,,,,,,
textbox,Cage Length,,,,,,
textbox,Design Pile Depth (min): ,,,,,,
textbox,Design Pile Diameter (min):,,,,,,
textbox,Casing Diameter:,,,,,,
textbox,Cage Diameter:,,,,,,
radio,Pole Type / Socket Type:,"Standard – RS168 x 750DF,Catenary – RSe273 x 900,Short – RS115",,,,,
checkpoint,DRILLING AND PRE-POUR CHECKS,,,,,,
textbox,Services check (depths and offsets):,,,,,,
date,Casing Install Date:,,,,,,
textbox,Piled depth:,,,,,,
radio,Plug Type:,"Soil,Concrete,Not required",,,,,
radio,Top of casing to FL check:,"90mm (Catenary),110mm (Standard)",,,,,
label,Pre-pour checks,,,,,,
bool,Speed form,,,,,,
bool,Cage placed (75mm cover to reo),,,,,,
bool,Socket set in place (check pole centre),,,,,,
bool,Socket plumb check (pre-camber check for catenary poles),,,,,,
bool,D16 starters installed,,,,,,
textbox,Concrete Mix Type:,,,,,,
textbox,Docket number,,,,,,
date,Tremie Pour Date:,,,,,,
