Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Footings Progress,,,,,,
,Scope,,,Footings,,
,Rows,,,,,
,,Footings,dynamic,Footings,Site QA,
,Columns,,,,,
,,Structural Element,,Structural Element,,
,,Anti-burst tied to top steel reinforcement,,"Anti-burst tied to top steel reinforcement, with enough cover for concrete",,
,,Quality Check - As per structural engineering plans,,"Quality Check - As per structural engineering plans Reinforcement size correct, spacing does not exceed maximum allowed, position within tolerance - As per structural engineering plans",,
,,Starter bars correctly set out & secured,,Starter bars correctly set out and adequately secured,,
,,Lap length & location acceptable,,Lap length and location acceptable - As per structural engineering plans,,
,,Concrete cover within tolerance,,Concrete cover within tolerance - As per structural engineering plans,,
,,Reo not cut or bent for ease of installation,,Reo not cut or bent for ease of installation,,
,,All openings trimmed/re-entry bars installed,,"All openings sufficiently trimmed, re-entry bars installed (to avoid cracking) - As per structural engineering plans",,
,,Reo bars sufficiently tied & supported,,Reo bars sufficiently tied and supported (minimal deflection / does not come apart when stood on),,
,,Reo bars clean/free from rust & salt,,"Reo bars clean, free from rust and salt etc.",,
,,Reinforcement tied as per structural engineer drawings,,Reinforcement tied as per structural engineer drawings,,
,,Visual inspection by TSG employee completed,,Visual inspection by TSG employee completed,,
,,Engineer Inspection - all rectifications made,,Engineer Inspection – all rectifications made as per engineer mark-up prior concrete pour,,
,,Loose tie wire & trimmings removed,,Loose tie wire and trimmings have been removed from formwork deck prior to pour.,,
,,All production tags fully removed prior to pour,,All production tags have been fully removed prior to pour.,,
,,All bar caps installed where required,,All bar caps installed where required.,,
,,Starter bars/Ripboxes/Couplers correctly set out & secured,,"Starter bars, Ripboxes, Couplers and the like correctly set out and adequately secured",,
,,Comments (Re Engineer Inspection Report),,Comments (Re Engineer Inspection Report),,
,,Photo of engineer report,,Photo of engineer report,,
,,,,,,
Lift Cores Progress,,,,,,
,Scope,,,Lift Cores,,
,Rows,,,,,
,,Tower,dynamic,Tower,Lift Cores,Site QA
,,School,dynamic,School,Lift Cores,Site QA
,,Parish,dynamic,Parish,Lift Cores,Site QA
,Columns,,,,,
,,Structural Element,,Structural Element,,
,,Anti-burst tied to top steel reinforcement,,"Anti-burst tied to top steel reinforcement, with enough cover for concrete",,
,,Quality Check - As per structural engineering plans,,"Quality Check - As per structural engineering plans Reinforcement size correct, spacing does not exceed maximum allowed, position within tolerance - As per structural engineering plans",,
,,Starter bars correctly set out & secured,,Starter bars correctly set out and adequately secured,,
,,Lap length & location acceptable,,Lap length and location acceptable - As per structural engineering plans,,
,,Concrete cover within tolerance,,Concrete cover within tolerance - As per structural engineering plans,,
,,Reo not cut or bent for ease of installation,,Reo not cut or bent for ease of installation,,
,,All openings trimmed/re-entry bars installed,,"All openings sufficiently trimmed, re-entry bars installed (to avoid cracking) - As per structural engineering plans",,
,,Reo bars sufficiently tied & supported,,Reo bars sufficiently tied and supported (minimal deflection / does not come apart when stood on),,
,,Reo bars clean/free from rust & salt,,"Reo bars clean, free from rust and salt etc.",,
,,Reinforcement tied as per structural engineer drawings,,Reinforcement tied as per structural engineer drawings,,
,,Visual inspection by TSG employee completed,,Visual inspection by TSG employee completed,,
,,Engineer Inspection - all rectifications made,,Engineer Inspection – all rectifications made as per engineer mark-up prior concrete pour,,
,,Loose tie wire & trimmings removed,,Loose tie wire and trimmings have been removed from formwork deck prior to pour.,,
,,All production tags fully removed prior to pour,,All production tags have been fully removed prior to pour.,,
,,All bar caps installed where required,,All bar caps installed where required.,,
,,Starter bars/Ripboxes/Couplers correctly set out & secured,,"Starter bars, Ripboxes, Couplers and the like correctly set out and adequately secured",,
,,Comments (Re Engineer Inspection Report),,Comments (Re Engineer Inspection Report),,
,,Photo of engineer report,,Photo of engineer report,,
,,,,,,
Stairs Progress,,,,,,
,Scope,,,Stairs,,
,Rows,,,,,
,,Stair Core (Tower),dynamic,Stair Core (Tower),Stairs,Site QA
,Columns,,,,,
,,Structural Element,,Structural Element,,
,,Anti-burst tied to top steel reinforcement,,"Anti-burst tied to top steel reinforcement, with enough cover for concrete",,
,,Quality Check - As per structural engineering plans,,"Quality Check - As per structural engineering plans Reinforcement size correct, spacing does not exceed maximum allowed, position within tolerance - As per structural engineering plans",,
,,Starter bars correctly set out & secured,,Starter bars correctly set out and adequately secured,,
,,Lap length & location acceptable,,Lap length and location acceptable - As per structural engineering plans,,
,,Concrete cover within tolerance,,Concrete cover within tolerance - As per structural engineering plans,,
,,Reo not cut or bent for ease of installation,,Reo not cut or bent for ease of installation,,
,,All openings trimmed/re-entry bars installed,,"All openings sufficiently trimmed, re-entry bars installed (to avoid cracking) - As per structural engineering plans",,
,,Reo bars sufficiently tied & supported,,Reo bars sufficiently tied and supported (minimal deflection / does not come apart when stood on),,
