resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Building B05,,,,,,,,
,step,,,,QA,,,,,,,
Pre-commencement Checklist,checklist,,,,,Pre-Commencment Checks,,,,,,
,step,,,,,Building B05 - On Site QA ,,,,,,
Fascia Checklist,checklist,,,,,,North Elevation Grid A & 1-5,,,,,
Fascia Checklist,checklist,,,,,,West Elevation - Grid A-C & 1,,,,,
Fascia Checklist,checklist,,,,,,West Elevation - Grid C-E & 3-5,,,,,
Fascia Checklist,checklist,,,,,,South Elevation- Grid A-E & 1-5,,,,,
Fascia Checklist,checklist,,,,,,East Elevation - Grid A-C & 5,,,,,
Fascia Checklist,checklist,,,,,,East Elevation - Grid C-E & 5,,,,,
Completion Documents,checklist,,,,,Completion documents-BCO10332878,,,,,,
