Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
53e62f62-be84-4662-9b77-8b57b8dae275,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B06,Townhouses,13,Downpipe
aac2f650-2210-4adf-b028-39b3664e2ede,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B06,Townhouses,11,Downpipe
10961011-979c-453a-aaab-65d9360685b9,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B06,Townhouses,9,Downpipe
3d7f29f6-e79f-4977-87a9-1189243f087b,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B06,Townhouses,7,Downpipe
5f9dcbd1-9faa-49fd-8705-f7f46d8a8fef,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B06,Townhouses,5,Downpipe
b373be59-d74c-41e8-82e4-aa9477a832dd,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B07,Townhouses,14,Downpipe
55d8efaf-6cd6-46c0-a6a5-c0222838a20c,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B07,Townhouses,12,Downpipe
1f56f6a3-53a6-4882-9d8c-e3b1fb83a12b,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B07,Townhouses,10,Downpipe
e42f228f-1f90-44dd-8734-4d48fda33a82,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B07,Townhouses,8,Downpipe
cd9fd34f-536c-4751-95d8-128a4fe882ac,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B07,Townhouses,6,Downpipe
bd1303f7-baec-4db6-8e85-257f415eba10,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B08,Townhouses,31,Downpipe
68477e39-863f-4ed9-8582-00d7a65207be,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B08,Townhouses,29,Downpipe
02577cc3-e34e-4805-be30-2b83c1fcb852,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B08,Townhouses,27,Downpipe
517fb155-6fe3-4322-a32f-f8da38fff153,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B08,Townhouses,25,Downpipe
7f77b05f-8d1e-4d99-a7bf-0926379f61da,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B09,Townhouses,32,Downpipe
566877cd-1ff0-461e-aa0e-73588124d928,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B09,Townhouses,30,Downpipe
0fd9d9a7-84bf-4ebd-9046-f8c72e412cb9,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B09,Townhouses,28,Downpipe
d3d2deb5-bd69-4aa6-8e78-a11243c8bb41,,checklist-flat,not-started,FC - S - Fascia/Gutter,checklist-flat,FALSE,FALSE,QA,Stage 5 - Townhouses,B09,Townhouses,26,Downpipe
