type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Fire Dampers,,,,,,,
section,Pre-Start Fire Damper,,,,,,,
checkpoint,"Area clear, access good, enough space for install",,,,,,,
checkpoint,"Duct Route clear, Penetrations complete",,,,,,,
section,First Fix Fire Damper,,,,,,,
checkpoint,Correct Fire Damper installed. (Insert Photo),,,,,,,
checkpoint,Fire Damper installed straight and level with correct orientation.  ,,,,,,,
checkpoint,"Breakaway joints either side of fire dampers, taped then cable tied.",,,,,,,
checkpoint,Fire Dampers installed to manufacturers specifications. Drop tested where applicable,,,,,,,
checkpoint,Access Panels in duct for fire dampers.,,,,,,,
checkpoint,Building Access Panel requirements are marked and given to builders,,,,,,,
checkpoint,Plans marked up for As Builts with Access Panel locations,,,,,,,
section,Second Fix Fire Damper,,,,,,,
checkpoint,"Fire Damper Label affixed, Asset Number applied.",,,,,,,
checkpoint,Fire Dampers Access Panels still accessible for maintenance,,,,,,,
checkpoint,"Area left clean and tidy, finger prints removed",,,,,,,
checkpoint,Fire Damper sealed to structure both sides.,,,,,,,
section,Commission Fire Damper,,,,,,,
checkpoint,Drop Tested as applicable,,,,,,,
checkpoint,Drop Test Motorised Fire Dampers with Fire Engineer.,,,,,,,
checkpoint,"Fire Damper Label filled out, photo uploaded.",,,,,,,
checkpoint,"Form TSL05.8A, Fire/Smoke Damper Test Sheet, updated for Project Completion",,,,,,,
checkpoint,Commissioning paperwork reviewed and accepted by Project Manager,,,,,,,
