type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,EVAMP001-THS-QA-ITP-0011 - Bechtel - Clear and Grubbing,itp,,,,,EVAMP001-THS-QA-ITP-0011 - Bechtel - Clear and Grubbing - RevA,
section,Pre-Construction,,,,,,,
checkpoint,1 - Drawings supplied most current IFC,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Reviewed drawing register,,,,,,,
label,Specification Clause - Reviewed drawing register,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2 - Management Plans submitted and approved as per PMP,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Approved Package MP’s,,,,,,,
label,Specification Clause - Approved Package MP’s,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,3 - Inspection Test Plan (ITP) submitted and approved,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Approved ITP revision,,,,,,,
label,Specification Clause - Approved ITP revision,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,4 - Lot Register/ WBS submitted and approved,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Approved WBS,,,,,,,
label,Specification Clause - Approved WBS,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - WP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,WITNESS POINT,,,,,,,
checkpoint,5 - Erosion and sediment control plan approved,,,,,,,
label,Responsibility - ENV,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Approved erosion and sediment control plan,,,,,,,
label,Specification Clause - EVAMP001-EVA-7340-PE-PRM-0001,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,6 - Check existing services and dial before you dig,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - DBYD certificate and EP,,,,,,,
textbox,Specification Clause - Excavation Permit (EP) Doc no.,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,7 - Ground Disturbance Procedure (GDP) obtained,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - GDP permit with work packs,,,,,,,
label,Specification Clause - EVAMP001-EVA-7340-PE-PRM-0001,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,8 - Area of works pegged and clearly defined to GDP. Pre- strip area survey pick-up,,,,,,,
label,Responsibility - SURV,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Clearing pegs installed at nominal intervals to ensure no over-clearing,,,,,,,
label,Specification Clause - EVAMP001-EVA-7340-PE-PRM-0001 to ensure no over-clearing,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,9 - Area of works been pre-cleared for Fauna/ Flora,,,,,,,
label,Responsibility - ENV,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - All areas to be pre-cleared prior to clearing operations.,,,,,,,
label,Specification Clause - EVAMP001-EVA- EN-PLA-0001,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,10 - Survey of pegs to confirm correct setting out,,,,,,,
label,Responsibility - ENV,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Pegs to be surveyed and sent back to the engineer. This is then to be confirmed by the environmental team,,,,,,,
label,Specification Clause - EVAMP001-EVA- EN-PLA-0001,,,,,,,
label,Frequency - Prior to clearing,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
section,Construction,,,,,,,
checkpoint,11 - Clearing of vegetation and removal to nominated stockpile location,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Spotter/ catcher in place during clearing operations,,,,,,,
label,"○ Habitat vegetation, threatened species and cultural heritage areas demarcated",,,,,,,
label,Specification Clause - EVAMP001- EVA-EN-PLA- 1,,,,,,,
label,— EVAMP001- EVA-7340-PE- PRM-1,,,,,,,
label,— C22 of EVAMP001-QVT- PE-PRM-1,,,,,,,
label,Frequency - As required,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,12 - All Erosion sediment control measures installed prior to construction,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - All control measures for erosion sediment control need to be implemented after clearing has been completed.,,,,,,,
label,"Specification Clause - EVAMP001-EVA-7340-PE-PRM-0001, EVAMP001-EVA-EN-PLA-0001",,,,,,,
label,Frequency - After clearing completed,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - HP,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,13 - Inspection of foundation prior to next stage of construction,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Field Test,,,,,,,
label,Conformance Criteria - Proof roll where required,,,,,,,
label,Specification Clause - EVAMP001-EVA- EN-PLA-0001,,,,,,,
label,Frequency - As required,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
