type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,EVAMP001-THS-QA-ITP-0004 - RCP installation,itp,,,,,EVAMP001-THS-QA-ITP-0004 - RCP installation - RevA,
section,Pre-Construction,,,,,,,
checkpoint,1 - Drawings supplied most current IFC and transmitted through In Eight,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Reviewed drawing register,,,,,,,
label,Specification Clause - Reviewed drawing register,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,2 - Define RCP ID,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,"Conformance Criteria - Allocate ID for reinforced concrete pipe, define work area",,,,,,,
label,"Specification Clause - Lot register. EVAMP001-THS-CV-SPE-0001, EVAMP001-THS-CV-SPE-0002",,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,3 - Lot Register/ WBS submitted and approved,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Approved WBS,,,,,,,
label,Specification Clause - Approved WBS,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - WP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,WITNESS POINT,,,,,,,
checkpoint,4 - Underlying lot & ITP signed off and conforming,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Visual,,,,,,,
label,Conformance Criteria - Subgrade prep ITP Signed,,,,,,,
label,Specification Clause - Approved QMP. Approved ITP,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Verification from Thiess / Inspector: THIESS (Initial) - HP,,,,,,,
label,Verification from Thiess / Inspector: Inspector (Initial) - W,,,,,,,
holdpoint,HOLD POINT,,,,,,,
checkpoint,5 - Certificate of compliance for RCP Material,,,,,,,
label,Responsibility - ENG,,,,,,,
label,Method - Written,,,,,,,
label,"Conformance Criteria - Supplier to provide certificates indicating manufacturing processes, materials, thicknesses, classes, and diameters (Only culverts with materials & dimensions complying with the culvert schedule & specification to be used).",,,,,,,
