"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b618510-27be-41d8-af08-167496d93385","","folder-normal","","","step","TRUE","FALSE","Site QA"
"a365e86e-1ef8-4363-8f82-492c23808435","","folder-normal","","","step","TRUE","FALSE","Site QA","Basement"
"b917df06-6bb6-4de8-ab75-d363d5df20b4","","folder-normal","","","step","TRUE","FALSE","Site QA","Ground Floor"
"1c7ce0e0-a484-4d77-975d-39aa1aa8cbb4","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 1"
"e289125a-451e-4e11-8999-185a2365e548","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 2"
"a2049b69-0a75-45b0-8915-503015d97955","","folder-normal","","","step","TRUE","FALSE","Site QA","Crane Base"
"6e618494-6245-4ef9-bc75-2c055782ca29","","folder-normal","","","step","TRUE","FALSE","Site QA","Pool & Spa"
"45710d2f-d666-43f2-a51e-78b767661ee1","","folder-normal","","","step","TRUE","FALSE","OH&S"
"0e88bd7e-2cca-4105-b6bc-291add4a5a53","","folder-normal","","","step","TRUE","FALSE","Variations"
"3266673d-04fe-4f6d-955f-826d44c4d542","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets"
"3e0f7708-e289-49aa-b923-86617c8fdd0e","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets","May"
"cdda531f-c223-4f54-87f4-7860748b6f3a","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -6/5"
"32248d55-d60f-420b-a606-e7ea71d88e0e","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -7/5"
"6f207531-f33a-474e-b2cf-0e343e914c01","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -10/5"
"196edcad-123a-4be2-977e-8660c343f163","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -11/5"
"aef36486-8258-4630-b516-21cd322c65f5","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -12/5"
"2acd2e3f-ccfe-46f3-be82-ccb0679e9efe","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -13/5"
"f7570e1a-4ab8-450c-8ea5-26415043b85f","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -14/5"
"50e88315-0fe9-4630-8375-2dae366844aa","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets","May","16/5"
"af5457ea-1f4f-404f-ad98-93a5f35e87b9","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet - 16th May"
"3b78d394-00fc-42af-b62f-82e58e9173a8","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet - 17th May"
"f6d0432e-86a6-4b52-8fd3-56c8952fc270","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet - 18th May"
"f4b90f51-f85f-47dd-b367-3b01cfeb22ad","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -19/5"
"5df32656-6e37-490a-afa2-6badfde7fd95","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -20/5"
"b8ff48a0-12ff-4493-b4b3-d87f1f072d5e","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -21/5"
"cb0f726b-9553-4db4-afa5-da5adbe8fa7f","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -24/5"
"96d1f850-cd97-469f-9659-779b99c49296","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -25/5"
"8d2af7d2-7a0b-4f70-8fc4-475d9a9f98b5","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -26/5"
"e8420a9a-0906-41d7-9ab3-8787754c596c","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -27/5"
"e431ecce-ab4a-4ece-abf5-49b9c0e21042","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet28/5"
"3f9278cb-f1db-4fdf-a96e-60d8e91b7a30","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -30/5"
"4693f9f7-c519-4dc2-bf0a-3f410283d567","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","May","Daily Full Activity Timesheet -31/5"
"79b79ba5-b9b1-43fa-a007-395c83e659d7","","folder-normal","","","step","TRUE","FALSE","Daily Full Activity Time Sheets","June/july"
"81f97094-7cbd-4da5-80c9-fb2a2218dac4","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -1/6"
"3020a9b7-ca8d-422a-9cb9-285e18682d0a","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -2/6"
"39938033-a2fd-4ef1-9138-f13777813fb5","","checklist-flat","","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Time Sheets","June/july","Daily Full Activity Timesheet -3/6"
