"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2378c659-7bcd-4197-8483-f0a24388bcdd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Timesheets"
"641c3acf-0018-4d61-af22-ac60e2fee74e","","folder-normal","not-started","","step","TRUE","FALSE","Timesheets","29th Dec - 4th Jan"
"054be384-0415-4b3f-af1c-df7a66f3ce26","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Adam"
"19fd4143-df26-4fe4-9310-a14d16e486c9","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Aka"
"a157115f-08aa-4e88-9ec7-40a0972a0d19","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Ben"
"ae6def88-579f-4950-b571-68edddd3cc6c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Billy J"
"b59d32aa-50e6-41c2-87c0-263c35b7b644","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Barlow"
"7e806865-4361-4e9a-9624-c24bc4e0b880","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Blake"
"8cc1a4cc-2320-45bf-8811-59776ef7290c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Burger"
"e783e734-16bb-431a-882c-973e6bc8145c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Batch"
"2df08299-a0fc-4ea9-bb2c-8f95ef2ab635","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Boothy"
"ddbbe139-1eac-4cdb-9457-984921c1c66a","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Bucky"
"4ca5f2b7-14ed-4725-90fb-96b7ff652eff","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Brendan"
"f628d397-d45c-4586-933c-f80e7a9bb9be","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Chris"
"33b68cfc-1d6c-4453-92e9-7413b364cc64","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Daniel"
"255684ba-5ea7-458c-bc98-fea9e3da08ad","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Dave S"
"7bf6da10-79ef-4a5d-b281-12cbecd37a19","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Dinga"
"bc5d2810-31fc-4b89-9915-90228810a436","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Doug"
"aa41ec07-0694-4460-9351-d34d6fd700ce","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Doonga"
"64f0dafa-dc69-40d3-ab1e-e4d2c53127ae","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","General"
"c75cdd5a-04a0-4bec-bf1c-8f1c8deeabfe","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Gary"
"bdd9e322-1c99-44bc-b4f8-39a35ca480af","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","James B"
"2e138adf-dd2d-4565-81ab-dad2eefa24fd","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jarrod B"
"a08498fd-cc0f-4e0e-979d-c4b5154ef27c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jimmy"
"9c075bfd-d2b2-4914-a1f0-6dc974df88c0","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jay A"
"fbd97fe0-baa3-4cba-add2-fd6481d01f30","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jay J"
"e994e6a4-5178-4762-9fa3-6871145b75ca","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jobbo"
"036b3501-7ebc-4a02-acaa-8c5852944f10","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Josh"
