"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cd172eb1-2900-451b-b0ef-c6e136f28605","","folder-normal","not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil"
"210ac2d0-6d08-4263-89a9-ec81299e0c13","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","OHS"
"a48ffaf0-5a7e-4138-b05c-81f463f998c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5"
"776e49e3-6c04-414e-9e0d-766b86b7ab6b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Matt Feehan"
"a5377a07-57ca-47de-87f2-dfcf8dd6ea95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Andrew Brew"
"fd2410e7-bb89-40aa-8b95-a56c70d2d30f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Travis De Bono"
"aaf7b934-2880-4f6f-871e-52d6990c86ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Jackson Pollock"
"24633cba-64a4-4a61-a0e6-8a6c36cedd46","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Flynn Harrison – Brown"
"97115ddf-76a8-4209-a185-bfd3e79cf924","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Riley Blake"
"dfb64fa1-3431-406a-8180-d813ee309f49","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Dale May"
"c2131e14-61a5-4a58-9f6c-70afca1c48bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Jack Rice"
"364fc27b-f527-4fee-a852-0129d7a2fffc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","Chris Dykes"
"02e6de14-a82a-44d3-8e18-7171361fac07","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","TAKE 5","James Taylor"
"a0f3ed48-0065-44c7-8f08-47bd43ebf127","","folder-normal","not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","QA"
"cfcf851d-0df1-48c1-8412-d4726ed4ab38","","folder-normal","not-started","","step","TRUE","FALSE","TE00616 Yarraville Civil","QA","STEEL CEMENT"
"55cf456c-56d4-4a8e-915e-355be15d776a","","checklist-flat","not-started","Transplumb Drainage BG ITP","checklist-flat","FALSE","FALSE","TE00616 Yarraville Civil","QA","STEEL CEMENT","Transplumb Drainage BG ITP"
"54a1d178-8870-4632-8802-595c88a483a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade"
"43efa7f8-e6ec-498b-85e7-e657def2ccb0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","OHS"
"ca7be111-ce7a-4912-a71c-4bb1ea22f3ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5"
"8acbc8b5-f9c9-440b-be50-5d265632ba22","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Matt Feehan"
"b75230cc-156e-4916-a67e-dc636aea5fd5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Andrew Brew"
"bb89517b-993d-48d7-961b-33e777ffb02d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Travis De Bono"
"8120498b-017f-429f-b202-038182cfe88a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Jackson Pollock"
"2bae0885-a2b4-444f-8d55-81f66610f3d6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Flynn Harrison – Brown"
"aacf5d90-8e47-42d1-9f23-45cd7bb1bd19","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Riley Blake"
"1e2dccca-258e-4a67-af57-1a3e089a0e7b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Dale May"
"de7dddb7-ee3c-48dd-992b-9c0914f1db19","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Jack Rice"
"fca823a5-440c-4dba-b4b7-04438769f99d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","Chris Dykes"
"dca1db34-bb60-4f73-ac14-693dcc636c3e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","TAKE 5","James Taylor"
"62ff158e-b457-49a2-9109-6804d7a27431","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00885 MC Fire Main Upgrade","QA"
