type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Booster Installation ITP,,,,,,Booster Installation ITP
checkpoint,Booster pipework cleaned & capped for transport to site,,,,,,
checkpoint,"Booster pipework installed in accordance with applicable standards & specification utilising approved seismic fixings & bracing, approved fire penetration sealing",,,,,,
label,Boosters located in accordance with approved drawing & in accordance with AS2419,,,,,,
checkpoint,"SAMFs approved hydrant values, hard suction & dual booster connectors fitted including pressure gauges",,,,,,
checkpoint,All above ground pipework securely fixed & plugged off & isolating valves closed & SAMFs required signage & block plans installed ,,,,,,
checkpoint,Booster enclosure to be in accordance with SAMFs,,,,,,
checkpoint,Door hold open devices fitted & budget locks fitted as specified ,,,,,,
checkpoint,Arrange for SAMFs to inspect fire booster assembly,,,,,,
,,,,,,,
checklist-flat,Fire Extinguishers ITP,,,,,,Fire Extinguishers ITP
checkpoint,Fire extinguishers & signs installed in accordance with AS 2444 & applicable approved drawing,,,,,,
checkpoint,Arranged SAMFS to carry out inspection and verify quantity and location of extinguishers are acceptable,,,,,,
,,,,,,,
checklist-flat,Fire Pumps ITP,,,,,,Fire Pumps ITP
checkpoint,Pumps & associated pipework installed in accordance with the approved drawings & AS2118. Pump room secure & lockable,,,,,,
checkpoint,Pump wiring installed in accordance with AS3000 & phase 3 & neutral power supply available,,,,,,
checkpoint,"Fire water storage tank water supply available (suction) & all piping (discharge) & drains complete, pressure tested ready for use ",,,,,,
checkpoint,"Diesel engine filled with oil, fuel, batteries connected & diesel muffler & exhaust fitted to vent exhaust gases to atmosphere ",,,,,,
checkpoint,Pump testing completed - detail any non-conformances below ,,,,,,
,,,,,,,
checklist-flat,Sprinkler System First Fix,,,,,,Sprinkler System First Fix
checkpoint,Pipework installed in accordance with applicable TFP approved drawings,,,,,,
checkpoint,"First fix sprinkler pipework, hangers, seismic fixings, guards, air bleed vents, drain valves fitted in accordance with AS2118",,,,,,
checkpoint,First Fix Pressure Test,,,,,,
,,,,,,,
checklist,Sprinkler System Second Fix,,,,,,Sprinkler System Second Fix
section,Installation,,,,,,
checkpoint,"Second fix sprinkler pipework, hangers, seismic fixings, guards, air bleed vents, drain valves fitted in accordance with AS2118","Yes, No, N/A",,,,,
checkpoint,Second Fix Pressure Test,,,,,,
checkpoint,Sprinkler seismic hanging systems to be installed to AS1170.4 & include engineers sign off & supporting documentation,"Yes, No, N/A",,,,,
checkpoint,Fire penetrations to be sealed in accordance with manufacturers tested system with the location indicated on as builts with labels - Please attach photos,,,,,,
checkpoint,Sprinkler head spacings & temperature ratings checked to comply with AS2118,,,,,,
section,Test Procedures,,,,,,
checkpoint,Connect air compressor to above ground pipework to be tested. Fill pipework with compressed air to 100kpa,,,,,,
label,"Inspect above ground pipework for obvious leakage. Re-check pressure gauge and if no major pressure loss, pump up to 200kpa. Hold at 200kpa for 10 minutes. If no obvious air leakage from pipework being tested, release air pressure via control valve on compressor, and fill pipework with water to towns main pressure and set up TFP pressure test pump",,,,,,
checkpoint,Notify builders supervisor that fire services pipework is to be pressure tested ,,,,,,
checkpoint,If no obvious loss of pressure pump switch on TFP pressure test pump and pump to 1600kpa and hold at this test pressure for at least two hours as specified,,,,,,
section,Sign-Off,,,,,,
checkpoint,Works completed to specification/drawings - Attach photos of work below,,,,,,
,,,,,,,
checklist,Hydrant Mains Risers ITP,,,,,,Hydrant Mains Risers ITP
section,Installation,,,,,,
checkpoint,"Pipework installed in accordance with appliance standards, seismic fixings & specifications",,,,,,
checkpoint,Hydrant & hose reel pipework cleaned & capped for transport to site,,,,,,
label,Hydrant & hose reels located in accordance with AS2419,,,,,,
checkpoint,"First fix hydrant pipework, hangers, seismic fixings, drain valves fitted in accordance with AS2419",,,,,,
label,Hydrant seismic hanging systems to be installed to AS1170.4 & include engineers sign off & supporting documentation,,,,,,
checkpoint,Hydrants installed in accordance with AS2419 and SA water requirements,,,,,,
checkpoint,Hydrant caps and chains fitted,,,,,,
checkpoint,Hydrant valve wheels or oval spindles fitted as specified,,,,,,
checkpoint,Hydrant hose connection checked for SAMFs approved thread,,,,,,
checkpoint,Inspection carried out by Engineer - Attached/Any relevant comments added below,"Yes, No, N/A",,,,,
label,Sign-off attached below as applicable,,,,,,
checkpoint,Fire penetrations to be sealed in accordance with manufacturers tested system to the locations as indicated on as built drawings complete with labels - Please attach photos,,,,,,
button,Inspection carried out by Engineer - Attached/Any relevant comments added below,"Yes, No, N/A",,,,,
label,Sign-off attached below as applicable,,,,,,
checkpoint,Acoustic penetrations to be sealed in accordance with approved sample wall & manufacturers tested system to the locations as indicated on as builts,,,,,,
button,Inspection carried out by Engineer - Attached/Any relevant comments added below,"Yes, No, N/A",,,,,
label,Sign-off attached below as applicable,,,,,,
checkpoint,Hose reels located in accordance with approved drawing and in accordance with AS2441,,,,,,
checkpoint,All above ground pipework securely fixed and plugged off and isolating valves closed,,,,,,
checkpoint,Inspection carried out - Detail any corrective action for non-conformance Inspections,,,,,,
