resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,Lot 1,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 2,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 3,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 4,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 5,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 6,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 7,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 8,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 9,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 10,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 11,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 12,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 13,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 14,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 15,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 16,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 17,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 18,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 19,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 20,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 21,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 22,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 23,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 24,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 25,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 26,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 27,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 28,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 29,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 30,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 31,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 32,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 33,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
QA - Stopping Checklist,checklist,,,,,GIB Stop,,,,,,
,step,,,,Lot 34,,,,,,,
QA - Standard Wall Lining Checklist,checklist,,,,,GIB Fix,,,,,,
