resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Level 01,,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 113,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 123,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 124,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,CIR 102,,,,,,,
,step,,,Level 02,,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 213,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 223,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,Deck 224,,,,,,,
Frameless Glass arena point Checklist ,checklist,,,,CIR 202,,,,,,,
