type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Periodic Project Audit,,,,,,Periodic Project Audit V1
section,Health and Safety Implementation,,,,,,
checkpoint,Is the Site Contract Management Plan signed and available on site?,,,,,,
checkpoint,Is the Risk Register on site?,,,,,,
checkpoint,Are Daily Safety Plan forms available?,,,,,,
checkpoint,JSEA for work being undertaken effective and signed on,,,,,,
checkpoint,Are there emergency procedures in place?,,,,,,
checkpoint,Are permits being used and controls followed ,,,,,,
checkpoint,Is there a record of toolbox and signed off,,,,,,
checkpoint,Is there a hazard register board displayed?,,,,,,
checkpoint,Is it up to date and reviewed?,,,,,,
checkpoint,Is there a qualified first aider available?,,,,,,
checkpoint,Has a drill been carried out?,,,,,,
checkpoint,Are facilities on site provided as per the UCCL site Facilities Matrix - Site Requirements,,,,,,
checkpoint,For those working with sewer works have they been immunised?,,,,,,
checkpoint,Is there a designated smoking area on site ,,,,,,
checkpoint,Are there hazardous goods stored correctly on site ,,,,,,
checkpoint,SDS file in place matching substances on site?,,,,,,
section,PPE,,,,,,
checkpoint,Are all staff wearing correct PPE?,,,,,,
checkpoint,Is it tidy and in good repair?,,,,,,
checkpoint,"Are staff wearing seatbelts on trucks, rollers and loaders?",,,,,,
checkpoint,Are staff wearing hardhats where there are overhead hazards?,,,,,,
section,Staff Involvement in Safety,,,,,,
checkpoint,Are there completed daily safety plans present?,,,,,,
checkpoint,Are there completed plans for the last few working days? Pick 3,,,,,,
checkpoint,"Is there a record of staff induction? Pick 3 staff, are they inducted?",,,,,,
checkpoint,Have they signed the Daily Safety Plan for the day?,,,,,,
checkpoint,Is there a site Covid 19 sign in register?,,,,,,
checkpoint,Are the United Civil posters (including Life Saving Rules) displayed,,,,,,
checkpoint,Site and facilities being cleaned?,,,,,,
section,Equipment,,,,,,
checkpoint,Are chains and other relevant equipment tested and tagged?,,,,,,
checkpoint,Is electrical equipment tagged and in test?,,,,,,
checkpoint,Is there a first aid kit on site and is it complete?,,,,,,
checkpoint,Is there a fire extinguisher on site and is it charged and in test date?,,,,,,
