"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b7083e3-7863-4856-8868-dc5e91be138f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Bridge Piles"
"432b188b-9137-4259-b2d0-e8fadbbcbcbc","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 10 Piles - 10A & 10B "
"505394ab-29ff-4d95-9eb1-c3487485e039","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 11 Piles - 11A & 11B"
"b103c07a-90af-4dcc-b66b-cddba566200e","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 12 Piles - 12A & 12B"
"14c711c5-c850-4481-a94a-d981c3b87ddb","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 13 Piles - 13A & 13B"
"9efcccb8-a5a9-4018-9619-cd5f3624755d","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 14 Piles - 14A & 14B"
"69029d7e-c1e6-4fba-b3e5-127d7d1e8fc7","","checklist-sectioned","work-in-progress","ITP - Piling","checklist","FALSE","FALSE","Bridge Piles","Pier 15 Piles - 15A & 15B"
"b2c51b24-5970-4785-8c7f-5124a67bb5bc","","folder-normal","not-started","","step","TRUE","FALSE","Pier Caps "
"2bb5f017-d8ac-4bf0-af94-ca3180154a81","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 10"
"541dc136-2edf-4529-b660-defc24ca17e7","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 11"
"a523f2b9-91cb-4f12-ae5e-02cb13786758","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 12"
"f48327e4-15cd-4f71-810d-5c0277c8c6ed","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 13"
"8f45845a-d299-4434-9b5a-b160ad0e3044","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 14"
"30c887cf-d98f-4b99-b05f-68c1284312c2","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Pier Caps ","Structural Steel Fabrication - Pier Cap 15"
"c055a549-e03f-44ee-8fea-2660afd5893f","","folder-normal","not-started","","step","TRUE","FALSE","Bridge Girders "
"3a81012c-c3a5-4349-ba6a-50ace789fb5d","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder 10-11"
"d99dad83-1865-4f62-bd20-6380da7ff6a2","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder 11-12"
"ace5f3a7-82ef-4969-b33f-6e0e13ff9a10","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder 12-13"
"64b893fd-5d44-4fd5-8326-6c308343df3d","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder 13-14"
"bd57976f-0e8f-4adf-aee9-e39a2b198790","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder 14-15"
"ec89720c-3fa4-4a2d-a08c-f959d0f64e7d","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder - Half Span North"
"bdad0f9d-d1a6-4ea9-a5a2-8cb7d5e644a5","","checklist-sectioned","not-started","ITP - Structural Steel Fabrication","checklist","FALSE","FALSE","Bridge Girders ","Structural Steel Fabrication - Bridge Girder - Half Span South"
