type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Pile Predrilling & Filling ITC,itp,,,,,C - 7051 ITC-ITR - Pile Predrilling & Filling ITC,
section,Location Details,,,,,,,
checkpoint,Details,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,,,
textbox,Row Number,,,,,,,
textbox,Table Number,,,,,,,
dropdown,Number of Piles,"8 Pile,16 Pile,Other",,,,,,
textbox,"If other, please specify",,,,,,,
section,Drilling,,,,,,,
checkpoint,Drilling,,,,,,,
date,Date,,,,,,,
dropdown,Drill Depth,"1.8m,Other",,,,,,
textbox,"If other, please specify",,,,,,,
dropdown,Drill Width,"300mm,Other",,,,,,
textbox,"If other, please specify",,,,,,,
checkpoint,North/South Verticality +/- 3deg,,,,,,,
checkpoint,East/West Verticality +/- 3deg,,,,,,,
section ,Fill,,,,,,,
checkpoint,Fill,,,,,,,
dropdown,Predrill Fill Mix,"5% Stabilised Sand,Other",,,,,,
textbox,"If other, please specify",,,,,,,
section,Closeout,,,,,,,
checkpoint,Non-Conformances Closed Out,,,,,,,
label,"P,F,Attachment",,,,,,,
checkpoint,Works checked & completed,,,,,,,
signoff,SIGN HERE,,,,,,,
,,,,,,,,
checklist,Piling ITC,itp,,,,,C - 7051 ITC-ITR - Piling ITC,
section,Location Details,,,,,,,
checkpoint,Details,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,,,
textbox,Row Number,,,,,,,
textbox,Table Number,,,,,,,
label,Number of Piles,,,,,,,
bool,8 Pile,,,,,,,
bool,16 Pile,,,,,,,
bool,Other,,,,,,,
textbox,"If other, please specify",,,,,,,
section,Preconstruction,,,,,,,
checkpoint,Design,,,,,,,
label,Issued For Construction Drawings:,,,,,,,
label,○ 01_Maungaturoto_FS2V-23*-12_DUO_EX ,,,,,,,
label,○ 02_Maungaturoto_FS2V-23*-12_DUO_EX,,,,,,,
label,○ Schletter Electronic Design Data,,,,,,,
label,○ Schletter FS DUO - Fixed-tilt Installation Procedure,,,,,,,
section,Construction,,,,,,,
checkpoint,Pile Distribution to respective blocks,,,,,,,
label,Survey Data,,,,,,,
label,○ Schletter pile location data,,,,,,,
label,Visual Inspection,,,,,,,
label,"○ Piles distributed as per Schletter drawings, ie correct colour, code , dimensions and length",,,,,,,
checkpoint,Pile Refusal,,,,,,,
label,Drive piles to depth until they reach the point of refusal,,,,,,,
label,Record Pile location and mark on the drawing,,,,,,,
label,Record Actual Pile embedment Depth,,,,,,,
